,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.26948746,0.24860887,0.19597513,0.16261143,0.18949035,0.24345832
1,2014-01-03,0.25715764,0.24095722,0.19325607,0.16485621,0.18938357,0.24156508
2,2014-01-06,0.25737434,0.23420819,0.19526943,0.16802284,0.19215509,0.24182014
3,2014-01-07,0.2544149,0.2270017,0.19224798,0.1652174,0.18884954,0.23894261
4,2014-01-08,0.26936912,0.24130913,0.19645981,0.16351518,0.18959799,0.24134673
5,2014-01-09,0.26958333,0.23671284,0.19783126,0.16532882,0.19092971,0.24506885
6,2014-01-10,0.26227702,0.23174203,0.1988562,0.17087896,0.19719462,0.24662255
7,2014-01-13,0.26497753,0.23172917,0.2108244,0.18849136,0.21250938,0.25563261
8,2014-01-14,0.26685325,0.22685587,0.21633285,0.19621802,0.21847157,0.26122437
9,2014-01-15,0.22469928,0.22245974,0.21258297,0.20979207,0.21972362,0.24617758
10,2014-01-16,0.22447986,0.21563164,0.21351281,0.21121318,0.2206351,0.24616782
11,2014-01-17,0.20714369,0.20902917,0.20257695,0.20248934,0.21032362,0.23592949
12,2014-01-20,0.20924361,0.20524637,0.1983501,0.19592951,0.20415249,0.22968743
13,2014-01-21,0.20290675,0.20042005,0.18803749,0.18393895,0.19252294,0.21989389
14,2014-01-22,0.19850252,0.20295514,0.18790298,0.18548839,0.19264129,0.21561074
15,2014-01-23,0.19582081,0.19738105,0.18620222,0.18416306,0.19078906,0.21434364
16,2014-01-24,0.199264,0.19739084,0.18501732,0.18107052,0.19083094,0.21836033
17,2014-01-27,0.19909548,0.19245439,0.18850041,0.18612468,0.19325827,0.22213627
18,2014-01-28,0.1990786,0.18653121,0.18873301,0.18645753,0.19364469,0.22318569
19,2014-01-29,0.18133656,0.18151739,0.18317067,0.1850482,0.19359702,0.22110909
20,2014-01-30,0.18011135,0.17743129,0.18215628,0.18418083,0.19034211,0.21830523
21,2014-02-07,0.1763508,0.17521048,0.17798856,0.18013965,0.18537144,0.21989329
22,2014-02-10,0.15467786,0.17709437,0.17366107,0.18149116,0.18565008,0.21827659
23,2014-02-11,0.15502174,0.17230693,0.17300664,0.18043968,0.18394665,0.21507831
24,2014-02-12,0.15453278,0.16701456,0.17162416,0.17885008,0.18263662,0.21484717
25,2014-02-13,0.15455645,0.16187713,0.17017623,0.17692163,0.18026743,0.21310874
26,2014-02-14,0.15548843,0.18897854,0.17117271,0.17721128,0.17786801,0.2108077
27,2014-02-17,0.20623955,0.25115279,0.17790914,0.16277178,0.17387117,0.22971522
28,2014-02-18,0.20864232,0.24467528,0.1778985,0.16316117,0.17377048,0.23190058
29,2014-02-19,0.20498098,0.2378028,0.1665923,0.14856921,0.15898733,0.22057842
30,2014-02-20,0.20871295,0.2337587,0.16562103,0.14656208,0.15707102,0.2176713
31,2014-02-21,0.20516807,0.22662724,0.16175626,0.14159649,0.15133632,0.21437679
32,2014-02-24,0.2048147,0.22000388,0.16493605,0.14644867,0.15939601,0.2186991
33,2014-02-25,0.20491205,0.21323471,0.16558331,0.14747096,0.15893759,0.2203898
34,2014-02-26,0.20456452,0.2085956,0.16888542,0.1528415,0.16297156,0.22227767
35,2014-02-27,0.24214314,0.24681544,0.17888728,0.15016072,0.16960159,0.23349342
36,2014-02-28,0.2351513,0.239221,0.17930785,0.1541377,0.16992882,0.23083842
37,2014-03-03,0.23638975,0.2366089,0.18069199,0.15453565,0.17112552,0.23174166
38,2014-03-04,0.23803959,0.2330871,0.18298035,0.15879648,0.17340947,0.22933596
39,2014-03-05,0.23682952,0.22591527,0.17922549,0.15315767,0.1705831,0.22626951
40,2014-03-06,0.23698098,0.21900982,0.17913989,0.15299909,0.17033847,0.22531387
41,2014-03-07,0.23810973,0.21706359,0.18193253,0.15584145,0.17199938,0.22685079
42,2014-03-10,0.27632783,0.26050968,0.19907252,0.16326248,0.18129413,0.23643066
43,2014-03-11,0.27585306,0.25394412,0.19939028,0.16414322,0.18270237,0.23411535
44,2014-03-12,0.27435993,0.24890824,0.2039536,0.17270575,0.1937732,0.24429691
45,2014-03-13,0.27533711,0.2441697,0.20651774,0.17590191,0.19829808,0.24713536
46,2014-03-14,0.27549774,0.23671856,0.20615567,0.1752902,0.19696503,0.24683705
47,2014-03-17,0.27651725,0.23189876,0.2131535,0.18564784,0.20477522,0.26423607
48,2014-03-18,0.26674208,0.23179785,0.20986943,0.18661014,0.20660542,0.26631754
49,2014-03-19,0.21714626,0.22672556,0.20037531,0.1941888,0.20458208,0.25396313
50,2014-03-20,0.21684118,0.22045715,0.19924709,0.19279745,0.20434061,0.25253932
51,2014-03-21,0.21565867,0.21465949,0.1976637,0.19044061,0.20184295,0.25505098
52,2014-03-24,0.21423577,0.20873874,0.19324688,0.18501826,0.19674831,0.25182184
53,2014-03-25,0.21379393,0.20257995,0.19302179,0.1846303,0.19687219,0.25194093
54,2014-03-26,0.21471865,0.19753485,0.18920725,0.17881867,0.18860824,0.24606841
55,2014-03-27,0.21543311,0.19443931,0.18926427,0.1779681,0.18991501,0.24505457
56,2014-03-28,0.21337525,0.18874182,0.18586302,0.17350487,0.1862141,0.24251001
57,2014-03-31,0.17841034,0.18322833,0.17543672,0.17509188,0.18031047,0.23178289
58,2014-04-01,0.17836454,0.17789499,0.17574629,0.17543266,0.1810326,0.22920278
59,2014-04-02,0.17210582,0.17258676,0.17240945,0.17260979,0.17781078,0.22655118
60,2014-04-03,0.1704175,0.16779831,0.1692195,0.16951811,0.17439675,0.22477821
61,2014-04-04,0.17059002,0.16352337,0.16818347,0.16783322,0.17316787,0.22410864
62,2014-04-08,0.17550573,0.16359964,0.16893191,0.16747242,0.17288197,0.22452101
63,2014-04-09,0.16946361,0.15878996,0.16526908,0.16409037,0.17003473,0.22235986
64,2014-04-10,0.10545969,0.15391441,0.14391893,0.15688226,0.15791991,0.21504032
65,2014-04-11,0.10264491,0.14941763,0.14203268,0.15510176,0.15468618,0.20964583
66,2014-04-14,0.09799567,0.14580434,0.13108316,0.14222021,0.13703586,0.19538187
67,2014-04-15,0.10026864,0.15122612,0.1276694,0.13628341,0.13082706,0.19191356
68,2014-04-16,0.10497549,0.15275914,0.12743733,0.13402706,0.13074915,0.19888781
69,2014-04-17,0.0977111,0.14821094,0.11571194,0.11969662,0.11801663,0.1752104
70,2014-04-18,0.08833708,0.1437659,0.10880952,0.11445488,0.11231701,0.16770421
71,2014-04-21,0.09711446,0.15143341,0.1116129,0.11492412,0.11383841,0.15315202
72,2014-04-22,0.10019494,0.14819935,0.10652477,0.10787701,0.10523659,0.14678078
73,2014-04-23,0.10017005,0.14375704,0.10429862,0.10535394,0.10355002,0.13781076
74,2014-04-24,0.10079676,0.13974205,0.1011193,0.10121162,0.10067182,0.13539842
75,2014-04-25,0.10818979,0.14137775,0.13476775,0.14422956,0.15049173,0.17375323
76,2014-04-28,0.11052407,0.14083059,0.13494419,0.14386678,0.15102325,0.17843551
77,2014-04-29,0.10908939,0.13909362,0.13410541,0.14321675,0.14809952,0.1762206
78,2014-04-30,0.10868888,0.13522571,0.13438285,0.14357342,0.14848503,0.17731639
79,2014-05-05,0.11209535,0.13438455,0.13448229,0.14292075,0.1481337,0.17774159
80,2014-05-06,0.1118068,0.13025213,0.13292095,0.14099217,0.14637277,0.17670045
81,2014-05-07,0.11166601,0.12633341,0.13279827,0.14086764,0.14615804,0.17652682
82,2014-05-08,0.1171022,0.13046497,0.13461644,0.14135377,0.14701503,0.17730533
83,2014-05-09,0.1165212,0.12645338,0.13545711,0.14275649,0.14804301,0.17738691
84,2014-05-12,0.11370042,0.12612194,0.13510922,0.14307058,0.14805177,0.1771694
85,2014-05-13,0.11449507,0.12297096,,,,
86,2014-05-14,0.1162221,0.12101238,,,,
87,2014-05-15,0.11734156,0.11880779,,,,
88,2014-05-16,0.12308387,0.12457626,,,,
89,2014-05-19,0.11695368,0.12408028,,,,
90,2014-05-20,0.11224793,0.12241382,,,,
91,2014-05-21,0.11308756,0.12032108,,,,
92,2014-05-22,0.11346516,0.11786017,,,,
93,2014-05-23,0.09833095,0.11426806,,,,
94,2014-05-26,0.09806748,0.11094966,,,,
95,2014-05-27,0.10355258,0.1125823,,,,
96,2014-05-28,0.10510349,0.11078967,,,,
97,2014-05-29,0.10606644,0.11585357,,,,
98,2014-05-30,0.1061674,0.11701014,,,,
99,2014-06-03,0.10462686,0.11459115,,,,
100,2014-06-04,0.10429706,0.11108127,,,,
101,2014-06-05,0.10071677,0.10777122,,,,
102,2014-06-06,0.10401786,0.10812824,,,,
103,2014-06-09,0.10435707,0.10554346,,,,
104,2014-06-10,0.09672103,0.10236774,,,,
105,2014-06-11,0.09825964,0.10125197,,,,
106,2014-06-12,0.09565424,0.09933336,0.09002785,,0.09003007,
107,2014-06-13,0.10885525,0.11355181,0.09338743,0.08781893,0.08933687,0.11732211
108,2014-06-16,0.11106589,0.11491247,0.10016262,0.09664717,0.09622054,0.12560969
109,2014-06-17,0.11448473,0.11701731,0.10059749,0.09587668,0.0967029,0.11883673
110,2014-06-18,0.10642935,0.11360988,0.09993808,0.0982386,0.0973839,0.1153064
111,2014-06-19,0.1082754,0.11609186,0.10046135,0.09818941,0.09788597,0.11678936
112,2014-06-20,0.17031472,0.1933834,0.12987276,0.10962203,0.1146506,0.14839022
113,2014-06-23,0.1703048,0.18847279,0.13093248,0.11136736,0.11791919,0.15969828
114,2014-06-24,0.17030702,0.18269202,0.13071587,0.11138403,0.11971642,0.16016234
115,2014-06-25,0.17178514,0.17807179,0.13505632,0.11791852,0.124585,0.16376594
116,2014-06-26,0.17159051,0.17262895,0.13677147,0.12066519,0.12756222,0.16626038
117,2014-06-27,0.16724135,0.16760882,0.137332,0.12274594,0.13107662,0.16831155
118,2014-06-30,0.16803271,0.16426591,0.13976961,0.12624439,0.1333787,0.16812708
119,2014-07-01,0.16067784,0.15964288,0.1397572,0.12822213,0.13712776,0.17012121
120,2014-07-02,0.15970888,0.15499183,0.13990355,0.12956788,0.13853919,0.17130259
121,2014-07-03,0.15920863,0.15075112,0.13909755,0.12848362,0.13470987,0.16719512
122,2014-07-04,0.15889613,0.14783533,0.13928317,0.12819505,0.13467978,0.16711327
123,2014-07-07,0.17130441,0.15558022,0.14611718,0.13446187,0.14068065,0.17212682
124,2014-07-08,0.17089475,0.15236286,0.14655322,0.13544445,0.14129547,0.17079987
125,2014-07-09,0.16965207,0.14814204,0.14637537,0.13519664,0.14091032,0.17075358
126,2014-07-10,0.16910502,0.14392571,0.14896911,0.13898139,0.1447517,0.17361252
127,2014-07-11,0.17838929,0.1596626,0.15064618,0.13558284,0.14518468,0.17904066
128,2014-07-14,0.18835786,0.16618337,0.15376568,0.13676443,0.14635132,0.18008891
129,2014-07-15,0.18560587,0.16276157,0.15035527,0.13475174,0.14572247,0.1813735
130,2014-07-16,0.1865908,0.15992659,0.14840337,0.13215901,0.14379398,0.17758557
131,2014-07-17,0.18273064,0.15552472,0.14746795,0.13194266,0.14347509,0.17743904
132,2014-07-18,0.18314693,0.15242184,0.14994016,0.13525174,0.14685313,0.17991761
133,2014-07-21,0.18157445,0.14774179,0.1491424,0.13547378,0.14740978,0.18055552
134,2014-07-22,0.12019434,0.143334,0.12283334,0.12485568,0.13414662,0.15499433
135,2014-07-23,0.11933633,0.13941617,0.12040716,0.12183764,0.13077806,0.14281451
136,2014-07-24,0.12022784,0.13632528,0.12138927,0.12280617,0.13113774,0.14250544
137,2014-07-25,0.12558066,0.14004003,0.1203768,0.11925351,0.12783966,0.14075976
138,2014-07-28,0.12766444,0.1377881,0.12291086,0.1221342,0.13055813,0.1424781
139,2014-07-29,0.12724328,0.1335971,0.12095931,0.11950551,0.12713706,0.13969545
140,2014-07-30,0.12565603,0.12951425,0.11893278,0.11737678,0.12539152,0.13893416
141,2014-07-31,0.12609434,0.12659072,0.11663053,0.11396424,0.12155714,0.13575559
142,2014-08-01,0.12802257,0.12610901,0.11612849,0.11226439,0.12049673,0.13498071
143,2014-08-04,0.12837496,0.12289404,0.11468864,0.11018811,0.11870319,0.13410419
144,2014-08-05,0.12685022,0.1198959,0.11642997,0.11310092,0.12192367,0.13655791
145,2014-08-06,0.12563385,0.1294803,0.11023769,0.10471788,0.11537395,0.13342079
146,2014-08-07,0.12584216,0.12760866,0.10958642,0.10368402,0.11475038,0.13316731
147,2014-08-08,0.12614136,0.12455528,0.10973799,0.10379658,0.11396579,0.13247041
148,2014-08-11,0.12663228,0.12273089,0.10633259,0.09818635,0.10932111,0.12975865
149,2014-08-12,0.10345563,0.11924346,0.10346705,0.10264021,0.10849856,0.12217694
150,2014-08-13,0.09163654,0.11557722,0.09920748,0.1019859,0.10834257,0.12198641
151,2014-08-14,0.09118429,0.11385272,0.10057096,0.10400784,0.10945318,0.11979365
152,2014-08-15,0.08913629,0.1103526,0.09662135,0.09968844,0.10564313,0.11620064
153,2014-08-18,0.10855538,0.13220241,0.10215315,0.09879065,0.11225615,0.13439309
154,2014-08-19,0.10506618,0.12855624,0.09755201,0.09274814,0.10600858,0.12999624
155,2014-08-20,0.10491611,0.12530702,0.09800164,0.09313343,0.1079596,0.13042791
156,2014-08-21,0.10487507,0.12182334,0.1003986,0.0965317,0.11110314,0.1327633
157,2014-08-22,0.10707362,0.12025882,0.1011508,0.09704359,0.11096455,0.13254867
158,2014-08-25,0.10677692,0.11680473,0.09921779,0.09464769,0.10903484,0.131547
159,2014-08-26,0.10616431,0.11718925,0.09530541,0.09089151,0.106602,0.12802995
160,2014-08-27,0.10302031,0.11434897,0.09136383,0.08575376,0.10133976,0.12411505
161,2014-08-28,0.10918661,0.11617683,0.0961432,0.09081988,0.10596218,0.12745254
162,2014-08-29,0.10916996,0.11279254,0.09517232,0.0893332,0.10487958,0.1262953
163,2014-09-01,0.1074111,0.10972479,0.09518059,0.08963596,0.10505266,0.12676263
164,2014-09-02,0.10713094,0.10981871,0.0956844,0.09053517,0.10588574,0.12789238
165,2014-09-03,0.1057618,0.10704675,0.09469685,0.08913858,0.10438613,0.12781949
166,2014-09-04,0.10568222,0.10379143,0.09178869,0.08512232,0.10024215,0.12496189
167,2014-09-05,0.09543305,0.10063763,0.0919903,0.09077243,0.10402899,0.12453785
168,2014-09-09,0.09223717,0.09832491,0.09191669,0.09127601,0.10357187,0.1233701
169,2014-09-10,0.09349531,0.09757545,0.09363974,0.09332837,0.10573451,0.12471115
170,2014-09-11,0.09274427,0.09579081,0.09399887,0.09422378,0.10615964,0.12433283
171,2014-09-12,0.09623627,0.1008161,0.09994224,0.10024301,0.11416404,0.13212664
172,2014-09-15,0.09635509,0.09771804,0.100259,0.10068044,0.11438147,0.13254794
173,2014-09-16,0.09651626,0.09502269,0.10106034,0.10228856,0.11607704,0.13370082
174,2014-09-17,0.09801116,0.09321553,0.10144969,0.10253052,0.11619442,0.13398178
