,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,,0.24473349,,,,
1,2014-01-03,,0.23665184,,,,
2,2014-01-06,,0.24074485,,,,
3,2014-01-07,,0.23229062,,,,
4,2014-01-08,0.25578315,0.22345581,0.24687472,,0.25809242,
5,2014-01-09,0.21968909,0.24177942,0.23457704,0.24023949,0.25527581,0.28433235
6,2014-01-10,0.21598165,0.23284691,0.23043875,0.23552299,0.24791205,0.26931075
7,2014-01-13,0.19256114,0.22408674,0.22094808,0.22837896,0.24210342,0.26297543
8,2014-01-14,0.19498804,0.22136834,0.2176397,0.22520656,0.23976161,0.26099909
9,2014-01-15,0.19416294,0.21456062,0.21482636,0.22187722,0.23609241,0.25578283
10,2014-01-16,0.19248879,0.22030645,0.21707752,0.22326008,0.23570818,0.25722596
11,2014-01-17,0.2058104,0.22911266,0.21903348,0.22396318,0.23611223,0.2573243
12,2014-01-20,0.20782117,0.22361003,0.22073121,0.22638436,0.24237345,0.26315798
13,2014-01-21,0.20867777,0.21816728,0.22230472,0.22789183,0.24412408,0.26441675
14,2014-01-22,0.20945009,0.21281796,0.22910878,0.23659166,0.25564024,0.27432525
15,2014-01-23,0.22680465,0.22911602,0.23068569,0.23351253,0.25078183,0.27115887
16,2014-01-24,0.22856148,0.22326075,0.22965005,0.23161204,0.24865546,0.27263123
17,2014-01-27,0.22606702,0.2155124,0.22724815,0.22948105,0.24711741,0.27147078
18,2014-01-28,0.20544445,0.20811002,0.22608399,0.23513348,0.25618319,0.27273811
19,2014-01-29,0.20367396,0.21925705,0.22842838,0.23786519,0.25621434,0.26617303
20,2014-01-30,0.19723455,0.21510467,0.22122371,0.22914245,0.24466778,0.25682454
21,2014-02-07,0.20013955,0.20993619,0.22038498,0.22751097,0.24379305,0.25580902
22,2014-02-10,0.19513387,0.20600301,0.2198876,0.22719959,0.24327892,0.25536071
23,2014-02-11,0.19776512,0.20106026,0.21694816,0.22338456,0.24089468,0.25286041
24,2014-02-12,0.18365929,0.19453484,0.20211415,0.20652894,0.21857082,0.23438594
25,2014-02-13,0.19423576,0.19760785,0.20435657,0.20760216,0.21876794,0.2344092
26,2014-02-14,0.19290837,0.19110415,0.20164555,0.20407972,0.21235588,0.23003902
27,2014-02-17,0.20225067,0.22355107,0.20143369,0.19996223,0.20704243,0.22769244
28,2014-02-18,0.21685779,0.23027421,0.20347357,0.19872181,0.20660678,0.22355911
29,2014-02-19,0.24126674,0.25150963,0.21663184,0.20844803,0.21222446,0.23689994
30,2014-02-20,0.23887633,0.24421412,0.21251711,0.20368491,0.20527023,0.23431838
31,2014-02-21,0.23764131,0.23650982,0.21236504,0.20379711,0.2052624,0.23434668
32,2014-02-24,0.23571784,0.23737444,0.21868037,0.2135833,0.22022383,0.24482005
33,2014-02-25,0.22605644,0.22974946,0.21458216,0.21205699,0.22118221,0.24669113
34,2014-02-26,0.22496057,0.22333104,0.2085694,0.20404568,0.20819956,0.23271062
35,2014-02-27,0.23140179,0.22715338,0.21249724,0.20700836,0.21014286,0.23460047
36,2014-02-28,0.22985853,0.21991088,0.20403021,0.1955032,0.1943588,0.22286432
37,2014-03-03,0.21866024,0.2192391,0.20081641,0.19562259,0.19482363,0.22290649
38,2014-03-04,0.22673151,0.22505799,0.20944465,0.2045752,0.20311062,0.22985032
39,2014-03-05,0.22861824,0.22076613,0.20893056,0.20298476,0.20188527,0.2316652
40,2014-03-06,0.22879107,0.21397944,0.20660316,0.19960236,0.1933793,0.2251217
41,2014-03-07,0.21995728,0.21155054,0.20380248,0.19934816,0.19422725,0.22386197
42,2014-03-10,0.22442008,0.21510284,0.21785316,0.21704489,0.21978052,0.24247479
43,2014-03-11,0.23704113,0.22676641,0.22779391,0.22629366,0.2284562,0.25003877
44,2014-03-12,0.23516872,0.21968324,0.23018518,0.23034775,0.2327818,0.25620049
45,2014-03-13,0.23823786,0.21941714,0.23418163,0.23457566,0.23674516,0.26084972
46,2014-03-14,0.246022,0.22330002,0.23691449,0.23556788,0.23758762,0.26152848
47,2014-03-17,0.27829606,0.26956218,0.24166054,0.22861085,0.23852724,0.27767982
48,2014-03-18,0.27882164,0.26159312,0.24374228,0.23150464,0.2389488,0.2817062
49,2014-03-19,0.25451317,0.2534162,0.23283702,0.22515531,0.23527439,0.27653719
50,2014-03-20,0.24750814,0.24574299,0.22883078,0.22317877,0.23406465,0.27562681
51,2014-03-21,0.23865517,0.25257677,0.22961029,0.22805402,0.24291927,0.2758328
52,2014-03-24,0.24381102,0.2527306,0.23025128,0.22669354,0.24131783,0.27722603
53,2014-03-25,0.26335386,0.26861624,0.23894668,0.23146823,0.24386061,0.27968417
54,2014-03-26,0.26557155,0.27197026,0.23442252,0.22342298,0.23129904,0.26958138
55,2014-03-27,0.26608142,0.2638585,0.23420068,0.22298224,0.23083812,0.26927245
56,2014-03-28,0.268682,0.26067895,0.2338714,0.22108896,0.22962069,0.26908578
57,2014-03-31,0.26008457,0.25383543,0.23013477,0.21829078,0.2274426,0.26785983
58,2014-04-01,0.26622531,0.2583297,0.23602269,0.22285257,0.23124063,0.27205887
59,2014-04-02,0.26446722,0.25031729,0.23909078,0.22901933,0.2380066,0.27779465
60,2014-04-03,0.26206534,0.24960877,0.23315217,0.2216619,0.23051312,0.26892529
61,2014-04-04,0.27199294,0.26119047,0.23759516,0.22268473,0.2316879,0.27354605
62,2014-04-08,0.27599963,0.26418715,0.24517321,0.2302889,0.23909864,0.28476645
63,2014-04-09,0.27518913,0.25644127,0.25027599,0.23871582,0.24693396,0.29205965
64,2014-04-10,0.26591741,0.24856045,0.2381991,0.22363621,0.22555975,0.2745669
65,2014-04-11,0.26013361,0.24600072,0.23213636,0.21820323,0.21936718,0.26992217
66,2014-04-14,0.26360637,0.24859704,0.23249821,0.21545015,0.21892797,0.27194656
67,2014-04-15,0.26405142,0.24769191,0.23130288,0.21332766,0.21618395,0.27082916
68,2014-04-16,0.26194229,0.26462138,0.23973682,0.22084378,0.2203975,0.28053382
69,2014-04-17,0.26640716,0.30636359,0.2616042,0.25146201,0.23767054,0.27795175
70,2014-04-18,0.26619468,0.29773401,0.26152611,0.25120111,0.23916743,0.28015445
71,2014-04-21,0.27265476,0.29185918,,,,
72,2014-04-22,0.27382523,0.28290128,,,,
73,2014-04-23,0.27466211,0.28820613,,,,
74,2014-04-24,0.27642769,0.28056981,,,,
75,2014-04-25,0.25007394,0.27190856,,,,
76,2014-04-28,0.25194268,0.26625435,,,,
77,2014-04-29,0.25309974,0.26779368,,,,
78,2014-04-30,0.25224404,0.26165309,,,,
79,2014-05-05,0.2536018,0.25972501,,,,
80,2014-05-06,0.24958106,0.25475348,,,,
81,2014-05-07,0.26304994,0.25757004,,,,
82,2014-05-08,0.26095199,0.25036129,,,,
83,2014-05-09,0.2651285,0.25592042,,,,
84,2014-05-12,0.25891372,0.24859105,,,,
85,2014-05-13,0.26779642,0.2508892,,,,
86,2014-05-14,0.26803595,0.24341898,,,,
87,2014-05-15,0.2660417,0.23714979,,,,
88,2014-05-16,0.25873395,0.2298457,,,,
89,2014-05-19,0.25345165,0.22292638,,,,
90,2014-05-20,0.23591564,0.22506791,,,,
