,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2019-05-06,,0.31741078,,,,
1,2019-05-07,,0.23054743,,,,
2,2019-05-08,,0.18653817,,,,
3,2019-05-09,,0.15960614,,,,
4,2019-05-10,,0.14705933,,,,
5,2019-05-13,,0.37384731,,,,
6,2019-05-14,,0.43760854,,,,
7,2019-05-15,,0.41492862,,,,
8,2019-05-16,,0.38608539,,,,
9,2019-05-17,,0.36080771,,,,
10,2019-05-20,,0.33810689,,,,
11,2019-05-21,,0.32150688,,,,
12,2019-05-22,,0.38811426,,,,
13,2019-05-23,,0.36807277,,,,
14,2019-05-24,,0.39108819,,,,
15,2019-05-27,,0.37914522,,,,
16,2019-05-28,,0.36816105,,,,
17,2019-05-29,,0.35736729,,,,
18,2019-05-30,,0.34154924,,,,
19,2019-05-31,,0.32732409,,,,
20,2019-06-03,,0.3581589,,,,
21,2019-06-04,0.34228456,0.34420542,0.32649456,,0.3115714,
22,2019-06-05,0.33205456,0.33098316,0.32235602,0.31412578,0.30806092,0.37077886
23,2019-06-06,0.35949793,0.3541951,0.33050548,0.31732498,0.31471721,0.37926432
24,2019-06-10,0.35931855,0.34159758,0.33471832,0.32312325,0.31819293,0.38430082
25,2019-06-11,0.35946532,0.33462425,0.33586891,0.32332645,0.31876731,0.3873549
26,2019-06-12,0.36659224,0.32814247,0.33666732,0.32323482,0.31920053,0.38772183
27,2019-06-13,0.36467273,0.37900639,0.3337956,0.31999243,0.31712449,0.38331945
28,2019-06-14,0.34326104,0.36635594,0.32914619,0.32504322,0.32495036,0.37230178
29,2019-06-17,0.34540027,0.36339726,0.31926818,0.31000736,0.31136524,0.35353087
30,2019-06-18,0.36458641,0.37416413,0.3229309,0.30857701,0.30910758,0.35130837
31,2019-06-19,0.36565187,0.36341259,0.32342436,0.30865061,0.30894331,0.35210171
32,2019-06-20,0.36564565,0.35105119,0.32109008,0.30511345,0.30559928,0.35011324
33,2019-06-21,0.36985336,0.34861166,0.32142279,0.303307,0.30545387,0.3520887
34,2019-06-24,0.3367226,0.33678963,0.3070473,0.29808505,0.30502785,0.34414001
35,2019-06-25,0.33683879,0.32567192,0.30713072,0.2982066,0.30517969,0.33689074
36,2019-06-26,0.31345691,0.31462833,0.29243909,0.28663307,0.3018047,0.32949801
37,2019-06-27,0.31123869,0.30597919,0.28573822,0.27831752,0.28797763,0.31407924
38,2019-06-28,0.31213751,0.30308498,0.28182022,0.27233733,0.28259314,0.30866579
39,2019-07-01,0.30835967,0.29357646,0.28031265,0.27154412,0.28129043,0.30918183
40,2019-07-02,0.30912121,0.28460192,0.27403033,0.26229455,0.27290274,0.3024552
41,2019-07-03,0.30888007,0.27517571,0.27283789,0.26071331,0.27084883,0.30100829
42,2019-07-04,0.27954175,0.26679547,0.25045541,0.2408087,0.25171713,0.28015345
43,2019-07-05,0.28025677,0.25925933,0.24890707,0.23848061,0.24692705,0.27326564
44,2019-07-08,0.28927947,0.26735264,0.25019962,0.23565736,0.24343741,0.27115831
