,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2017-08-21,,0.04482961,,,,
1,2017-08-22,,0.05643061,,,,
2,2017-08-23,,0.04552663,,,,
3,2017-08-24,,0.03945673,,,,
4,2017-08-25,,0.03471844,,,,
5,2017-08-28,,0.03208108,,,,
6,2017-08-29,,0.03006404,,,,
7,2017-08-30,,0.02881745,,,,
8,2017-08-31,,0.02674243,,,,
9,2017-09-01,,0.02496926,,,,
10,2017-09-04,,0.09137317,,,,
11,2017-09-05,,0.08868713,,,,
12,2017-09-06,,0.09019288,,,,
13,2017-09-07,,0.08608044,,,,
14,2017-09-08,,0.09396571,,,,
15,2017-09-11,,0.09351639,,,,
16,2017-09-12,,0.0891363,,,,
17,2017-09-13,,0.08624659,,,,
18,2017-09-14,,0.08361453,,,,
19,2017-09-15,,0.08029242,,,,
20,2017-09-18,,0.07712143,,,,
21,2017-09-19,0.0764141,0.0739863,0.1592089,,0.18524433,
22,2017-09-20,0.0863238,0.09032007,0.16095234,0.18194854,0.1847698,0.18082049
23,2017-09-21,0.08983294,0.09290112,0.16142506,0.18204984,0.18422859,0.17987034
24,2017-09-22,0.09024997,0.08987561,0.16170571,0.1823288,0.1843216,0.18054229
25,2017-09-25,0.09083667,0.08771723,0.16170259,0.18218969,0.18409249,0.1803341
26,2017-09-26,0.09149983,0.08586103,0.16224153,0.1826913,0.18461699,0.18112827
27,2017-09-27,0.09726564,0.09174393,0.16319689,0.18284615,0.18467689,0.1814255
28,2017-09-28,0.10186891,0.09621269,0.16489368,0.18400603,0.18589063,0.18410255
29,2017-09-29,0.1018773,0.09277963,0.16539077,0.18463466,0.18652945,0.18502348
30,2017-10-09,0.10208278,0.08973784,0.16620525,0.18561012,0.18750352,0.18712042
31,2017-10-10,0.10212544,0.08665703,0.1662064,0.18559796,0.18732773,0.1871304
32,2017-10-11,0.08462112,0.08371923,0.15774009,0.17822257,0.17861933,0.1782832
33,2017-10-12,0.08297077,0.08083315,0.15620472,0.17653839,0.17680218,0.17472503
34,2017-10-13,0.08098716,0.07807273,0.15488726,0.17543445,0.17627226,0.17412119
35,2017-10-16,0.08331459,0.0784032,0.15481566,0.17506112,0.17620336,0.17383434
36,2017-10-17,0.07772127,0.07647631,0.15241512,0.17313108,0.17514034,0.1721797
37,2017-10-18,0.07506563,0.07392565,0.07154668,0.07074106,0.07056872,0.08388765
38,2017-10-19,0.07549682,0.07250767,0.07225778,0.07146222,0.07199528,0.08446718
39,2017-10-20,0.07569952,0.07150705,0.07013948,0.06837416,0.06908731,0.08300827
40,2017-10-23,0.07523198,0.06912516,0.07039609,0.06903167,0.06906222,0.08270913
41,2017-10-24,0.07529601,0.06697588,0.07020151,0.06879207,0.06932307,0.08290543
42,2017-10-25,0.0756681,0.06548573,0.06772371,0.06511984,0.06445991,0.07949021
43,2017-10-26,0.07562458,0.06342832,0.0666303,0.06352516,0.06326149,0.07768338
44,2017-10-27,0.06099645,0.06275454,0.06111025,0.06082309,0.06246404,0.07606334
45,2017-10-30,0.05694077,0.0609349,0.06063934,0.06214514,0.06463182,0.07747235
46,2017-10-31,0.05776295,0.06004291,0.05963678,0.06069731,0.06399715,0.07585588
47,2017-11-01,0.05641023,0.05826046,0.0606375,0.06243726,0.06608086,0.07777603
48,2017-11-02,0.05507212,0.0568066,0.06019225,0.06220485,0.06475546,0.07685908
49,2017-11-03,0.04627884,0.05552805,0.05769515,0.0618391,0.06489544,0.07708056
50,2017-11-06,0.034338,0.05408434,0.05232779,0.05785059,0.06122021,0.07035613
51,2017-11-07,0.03438087,0.05252898,0.05125035,0.05648163,0.05945377,0.06808829
52,2017-11-08,0.03546106,0.05189228,0.04949218,0.0541129,0.05624804,0.06239311
53,2017-11-09,0.03520328,0.05024517,0.0494889,0.05415533,0.05659477,0.06256438
54,2017-11-10,0.03490167,0.04864665,0.04897622,0.05355447,0.05661097,0.06189858
55,2017-11-13,0.03673789,0.04931403,0.05783193,0.06419732,0.06601971,0.06980655
56,2017-11-14,0.03743839,0.0482414,0.05763693,0.06386494,0.06540842,0.06947517
57,2017-11-15,0.03637997,0.04977546,0.05611973,0.06226262,0.06359191,0.06808957
58,2017-11-16,0.03578221,0.04869194,0.05630256,0.06262429,0.06381901,0.0680423
59,2017-11-17,0.03611838,0.04753832,0.05588102,0.06203143,0.06297681,0.06738072
60,2017-11-20,0.03506021,0.04655235,0.05402556,0.05994041,0.06028619,0.06517762
61,2017-11-21,0.03411264,0.04625723,0.05313746,0.0590306,0.05954544,0.06438883
62,2017-11-22,0.03433616,0.04501166,0.05230454,0.05794648,0.05927372,0.06411955
63,2017-11-23,0.03453082,0.04401523,0.05290131,0.05864959,0.05978377,0.06443959
64,2017-11-24,0.03359244,0.0427144,0.0542619,0.06054323,0.06151156,0.06568273
65,2017-11-27,0.03426474,0.04225833,0.05447179,0.0606588,0.06136391,0.06567776
66,2017-11-28,0.04241734,0.05275579,0.05860274,0.06370713,0.06592545,0.07143838
67,2017-11-29,0.04429883,0.0526764,0.05856669,0.06335505,0.06480918,0.07064999
68,2017-11-30,0.04623416,0.05464525,0.0595906,0.0640941,0.06499191,0.07054124
69,2017-12-01,0.04635155,0.05300263,0.06133278,0.06635888,0.06700345,0.07326062
70,2017-12-04,0.04615158,0.05146327,0.06083667,0.06579956,0.06683381,0.07321017
71,2017-12-05,0.04720378,0.05125346,0.06075971,0.0655222,0.06646401,0.07223773
72,2017-12-06,0.04713409,0.0499191,0.06085832,0.06566993,0.06613287,0.07213713
73,2017-12-07,0.04874718,0.05047367,0.06047415,0.06475633,0.06598884,0.07216031
74,2017-12-08,0.04796378,0.04897215,0.06047112,0.06496835,0.06771025,0.07330352
75,2017-12-11,0.04808201,0.04764163,0.06144645,0.06618724,0.0688431,0.07420583
76,2017-12-12,0.04869319,0.04709684,0.06172707,0.06636005,0.06888784,0.074555
77,2017-12-13,0.05383895,0.05481885,0.07560296,0.08270461,0.07940544,0.12123364
