,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.12707219,0.12271396,0.13863417,0.14310901,0.16294089,0.16980256
1,2014-01-03,0.12781717,0.11955897,0.14025829,0.14514694,0.16392031,0.17138725
2,2014-01-06,0.14839376,0.14816472,0.15039059,0.15073624,0.16881992,0.1769884
3,2014-01-07,0.15322263,0.15317738,0.15747702,0.15790185,0.17664824,0.18959935
4,2014-01-08,0.15281574,0.14967131,0.15904627,0.1597488,0.17794897,0.19239418
5,2014-01-09,0.16103133,0.15258058,0.17074895,0.17384485,0.19138918,0.20390621
6,2014-01-10,0.16211507,0.14841267,0.17183339,0.17519765,0.19273567,0.20651391
7,2014-01-13,0.16134702,0.14469337,0.17353952,0.17737812,0.19438794,0.20802691
8,2014-01-14,0.13782099,0.14438605,0.16498156,0.17216264,0.19033795,0.20162017
9,2014-01-15,0.1339886,0.14007953,0.16116019,0.16939521,0.18639176,0.19802124
10,2014-01-16,0.13513871,0.14003233,0.16272235,0.17092468,0.18737676,0.19806266
11,2014-01-17,0.13559777,0.13629701,0.16463353,0.17337767,0.18952602,0.20010849
12,2014-01-20,0.13542146,0.132434,0.16609626,0.17523555,0.19100297,0.20146006
13,2014-01-21,0.1560845,0.16359953,0.17312785,0.17617039,0.19077958,0.20548327
14,2014-01-22,0.16789262,0.1686271,0.16188222,0.15831631,0.15610304,0.17795966
15,2014-01-23,0.18967245,0.1869223,0.17176119,0.16535294,0.15731744,0.18673108
16,2014-01-24,0.19238976,0.1837678,0.1750314,0.1692306,0.16097682,0.19560354
17,2014-01-27,0.19134144,0.17939406,0.17667539,0.17193727,0.16292516,0.19798423
18,2014-01-28,0.19085847,0.17454296,0.17778117,0.17378402,0.16514368,0.19975536
19,2014-01-29,0.19645084,0.17604093,0.18393445,0.18055989,0.16978835,0.20376152
20,2014-01-30,0.1985705,0.1732628,0.18578897,0.18246073,0.17089527,0.20749962
21,2014-02-07,0.1954724,0.17955274,0.18870416,0.18779148,0.17336759,0.20793467
22,2014-02-10,0.19617687,0.17720528,0.19071827,0.19031143,0.1762075,0.20797662
23,2014-02-11,0.19598655,0.17185751,0.19032605,0.18985172,0.1764542,0.20804591
24,2014-02-12,0.18095718,0.17420343,0.18570326,0.18801428,0.17475016,0.20674122
25,2014-02-13,0.17369131,0.1695008,0.18038606,0.18278207,0.16788041,0.19598097
26,2014-02-14,0.17201516,0.16428385,0.17934161,0.1816394,0.16646871,0.19324096
27,2014-02-17,0.16945754,0.16147394,0.17140814,0.17197273,0.15517714,0.18455581
28,2014-02-18,0.17725772,0.16455853,0.17360838,0.17298319,0.15612229,0.18393983
29,2014-02-19,0.17650481,0.15960755,0.17395652,0.17364151,0.15701206,0.18560397
30,2014-02-20,0.17596357,0.15575436,0.17325604,0.17338042,0.15714362,0.18642854
31,2014-02-21,0.17619634,0.15171554,0.17439624,0.1748006,0.15895156,0.18738993
32,2014-02-24,0.19130606,0.17162957,0.18117065,0.17878908,0.16428721,0.19319471
33,2014-02-25,0.19192631,0.16738022,0.1805673,0.17778758,0.16365446,0.19553159
34,2014-02-26,0.19173025,0.16234701,0.18032179,0.1774822,0.16329449,0.19529321
35,2014-02-27,0.17357378,0.16414245,0.17592732,0.17798237,0.16436388,0.19190412
36,2014-02-28,0.16677395,0.15909055,0.17033592,0.17305366,0.16037513,0.18927347
37,2014-03-03,0.1469008,0.15575549,0.16093059,0.16694865,0.15989486,0.18078942
38,2014-03-04,0.14359556,0.15099467,0.15919052,0.16544345,0.16045877,0.17442276
39,2014-03-05,0.14732334,0.15192633,0.15898843,0.16411333,0.16095136,0.17388994
40,2014-03-06,0.14762322,0.14777724,0.15786811,0.16267678,0.15878176,0.17273162
41,2014-03-07,0.14955435,0.15765973,0.15590447,0.15823627,0.15806813,0.17187661
42,2014-03-10,0.18500189,0.20844864,0.17085437,0.16201988,0.16654051,0.19071445
43,2014-03-11,0.20788814,0.22853029,0.1755476,0.16238503,0.16951602,0.19249694
44,2014-03-12,0.20568592,0.2220691,0.17982644,0.16948995,0.17639176,0.20196741
