,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-03-24,,0.02862174,,,,
1,2014-03-25,,0.1643543,,,,
2,2014-03-26,,0.13217824,,,,
3,2014-03-27,,0.11780411,,,,
4,2014-03-28,,0.11289835,,,,
5,2014-03-31,,0.11660037,,,,
6,2014-04-01,,0.10644305,,,,
7,2014-04-02,,0.10731665,,,,
8,2014-04-03,,0.10546455,,,,
9,2014-04-04,,0.11042313,,,,
10,2014-04-08,,0.12170514,,,,
11,2014-04-09,,0.12247454,,,,
12,2014-04-10,,0.11597049,,,,
13,2014-04-11,,0.11122153,,,,
14,2014-04-14,,0.10569862,,,,
15,2014-04-15,,0.10151334,,,,
16,2014-04-16,,0.10551202,,,,
17,2014-04-17,,0.10101336,,,,
18,2014-04-18,,0.12558838,,,,
19,2014-04-21,,0.12168562,,,,
20,2014-04-22,,0.11809009,,,,
21,2014-04-23,0.11852021,0.11846083,0.11635293,,0.12548842,
22,2014-04-24,0.11870572,0.11442235,0.11093868,0.108636,0.11342489,0.13580754
23,2014-04-25,0.10935186,0.11098827,0.10123066,0.09897988,0.1052184,0.12730491
24,2014-04-28,0.11727914,0.11999208,0.10243411,0.09718908,0.10353774,0.12686945
25,2014-04-29,0.11933576,0.11953521,0.10299682,0.09723684,0.10312277,0.12637688
26,2014-04-30,0.11841791,0.11684658,0.10362887,0.09844234,0.10215376,0.12521684
27,2014-05-05,0.11482432,0.11294793,0.13200533,0.13869334,0.15807014,0.16796567
28,2014-05-06,0.11473037,0.10925885,0.13244532,0.13920474,0.15866773,0.16865534
29,2014-05-07,0.11310413,0.10637749,0.13159583,0.13867245,0.15847287,0.16837044
30,2014-05-08,0.11185211,0.10564835,0.13131724,0.13827955,0.15873217,0.16883875
31,2014-05-09,0.10668724,0.10216251,0.13049532,0.13837597,0.15878919,0.16738906
32,2014-05-12,0.09933057,0.10111686,0.12978102,0.13911163,0.16118262,0.16776784
33,2014-05-13,0.09701272,0.09837304,0.1281745,0.13793639,0.16108206,0.16751121
34,2014-05-14,0.09708214,0.0949891,0.12748865,0.13709542,0.16002055,0.16582022
35,2014-05-15,0.09875993,0.09647796,0.1281532,0.13730318,0.15935692,0.16470667
36,2014-05-16,0.10068189,0.09956208,0.13213018,0.14132195,0.16319354,0.16948027
37,2014-05-19,0.09901004,0.09670155,0.13262864,0.14200582,0.16304456,0.16999408
38,2014-05-20,0.09664983,0.09346937,0.13161416,0.14188121,0.16307555,0.16978081
39,2014-05-21,0.09862324,0.09156451,0.13249802,0.14285617,0.16427732,0.17005053
40,2014-05-22,0.08305188,0.08882001,0.1290408,0.14296939,0.16691388,0.16971458
41,2014-05-23,0.08243927,0.08590515,0.12870034,0.14280887,0.16564591,0.16566077
42,2014-05-26,0.09403941,0.09902477,0.12900919,0.14070315,0.16397019,0.16507506
43,2014-05-27,0.09110743,0.09725663,0.12875602,0.14104146,0.16452518,0.16623833
44,2014-05-28,0.09395823,0.10000309,0.13005242,0.14171393,0.16737308,0.17345104
45,2014-05-29,0.09354764,0.09686039,0.12980006,0.14156663,0.16777192,0.17367832
46,2014-05-30,0.09488869,0.10804126,0.13116543,0.14294868,0.16937457,0.17424014
47,2014-06-03,0.0907997,0.10465445,0.13177895,0.14449465,0.1707515,0.17606458
48,2014-06-04,0.08997742,0.1015399,0.13072356,0.1434591,0.17057834,0.1755848
49,2014-06-05,0.09000579,0.09875526,0.1011294,0.10520067,0.11999362,0.13344701
50,2014-06-06,0.09130774,0.09669463,0.10062517,0.10436496,0.1194914,0.13286789
51,2014-06-09,0.09260373,0.09671549,0.10069287,0.10393653,0.11841409,0.13200878
52,2014-06-10,0.09126572,0.09391017,0.10264238,0.10722768,0.12299973,0.13525035
53,2014-06-11,0.09105019,0.09143691,0.10229361,0.10670804,0.12245402,0.1347403
54,2014-06-12,0.08901047,0.09016371,0.10093222,0.10512194,0.11864479,0.13119755
55,2014-06-13,0.08899481,0.08733527,0.10121115,0.10567397,0.11893653,0.13169404
56,2014-06-16,0.09104217,0.08875612,0.10297954,0.10707369,0.11987628,0.13246276
57,2014-06-17,0.09009057,0.0871979,0.1041101,0.10936496,0.12155705,0.13372811
58,2014-06-18,0.09058464,0.09018237,0.10101149,0.10544116,0.1161084,0.12891753
59,2014-06-19,0.09020493,0.08733901,0.099551,0.10362569,0.11443242,0.12694788
60,2014-06-20,0.0913191,0.08626382,0.10059061,0.1046295,0.11555059,0.12802373
61,2014-06-23,0.09276511,0.08693677,0.10014183,0.10352968,0.11466143,0.12778721
62,2014-06-24,0.09422221,0.08636665,0.09767885,0.09976538,0.10832385,0.12264867
63,2014-06-25,0.09440208,0.0839677,0.0978291,0.09990365,0.10901159,0.12333949
64,2014-06-26,0.08893412,0.08985217,0.096058,0.0993699,0.10905985,0.12299625
65,2014-06-27,0.08896848,0.08909758,0.09251035,0.09445521,0.10332383,0.11643148
66,2014-06-30,0.0863316,0.08895325,0.08989619,0.09188196,0.09774766,0.10492168
67,2014-07-01,0.08677945,0.08670543,0.08954011,0.09129084,0.09729929,0.10446895
68,2014-07-02,0.07420914,0.08564139,0.08700785,0.09180437,0.0971212,0.10264251
69,2014-07-03,0.07417701,0.08300554,0.08368493,0.08744573,0.09338454,0.09857399
70,2014-07-04,0.07396115,0.08056023,0.0838253,0.08768026,0.09359373,0.09876915
71,2014-07-07,0.0750045,0.07934977,0.08323668,0.0867153,0.09222878,0.09780579
72,2014-07-08,0.07619117,0.07980716,0.08389808,0.08718228,0.09159875,0.09689386
73,2014-07-09,0.07450902,0.0790956,0.08338822,0.08699674,0.09124094,0.09635709
74,2014-07-10,0.07987577,0.08448264,0.08360967,0.08527494,0.0873745,0.09346297
75,2014-07-11,0.0797712,0.08350139,0.08355732,0.08490164,0.08830658,0.09625053
76,2014-07-14,0.07936539,0.08490742,0.08302964,0.08353377,0.08653722,0.09471213
