,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.11463235,0.13064003,0.1189071,0.11970844,0.12199688,0.13610186
1,2014-01-03,0.1215772,0.13270737,0.11916222,0.11819884,0.12172073,0.1391147
2,2014-01-06,0.13374198,0.14797319,0.1260042,0.12195518,0.1260058,0.14394808
3,2014-01-07,0.14556531,0.16451168,0.13309896,0.12515692,0.13794406,0.18901922
4,2014-01-08,0.1451061,0.15926879,0.13026163,0.12170159,0.13496778,0.1872019
5,2014-01-09,0.14536239,0.15743006,0.13535571,0.12806724,0.14108624,0.1915692
6,2014-01-10,0.14335025,0.1523802,0.13364678,0.12596297,0.13813163,0.18958152
7,2014-01-13,0.14296533,0.14752132,0.13506751,0.1280041,0.14052856,0.19102739
8,2014-01-14,0.15021665,0.14842374,0.1367397,0.12868971,0.14148135,0.19215217
9,2014-01-15,0.14832091,0.14870088,0.13490339,0.12713223,0.13965616,0.18991725
10,2014-01-16,0.15390464,0.15635793,0.13893792,0.12925715,0.13979444,0.19210091
11,2014-01-17,0.15250161,0.15154372,0.13912988,0.12983322,0.14009703,0.19340486
12,2014-01-20,0.15321175,0.14669637,0.13977821,0.13086576,0.14156494,0.19438055
13,2014-01-21,0.13336282,0.15050475,0.1257611,0.12037192,0.13371624,0.18617319
14,2014-01-22,0.1354787,0.15128103,0.12964738,0.12416158,0.13822152,0.18659554
15,2014-01-23,0.13703971,0.14684094,0.12943881,0.12392011,0.13736617,0.18512704
16,2014-01-24,0.13544449,0.14219559,0.13039645,0.12548131,0.13907033,0.18612991
17,2014-01-27,0.13749754,0.1398517,0.13144034,0.12649834,0.13776895,0.18571106
18,2014-01-28,0.13786489,0.13544915,0.13104367,0.1264498,0.13925734,0.18781433
19,2014-01-29,0.13804547,0.13116124,0.13254093,0.12862099,0.14103234,0.18877987
20,2014-01-30,0.13773356,0.12775861,0.13192233,0.1278069,0.13982318,0.18796594
21,2014-02-07,0.13990006,0.13228852,0.13663017,0.1333193,0.14596719,0.19221803
22,2014-02-10,0.14501138,0.13568398,0.14123788,0.13837118,0.14882845,0.1943507
23,2014-02-11,0.13785308,0.1329459,0.14088941,0.13906491,0.14900645,0.19254079
24,2014-02-12,0.12800723,0.12877064,0.13527268,0.13651851,0.1461745,0.18961182
25,2014-02-13,0.11347417,0.12527085,0.12831866,0.13350665,0.13482328,0.14499982
26,2014-02-14,0.14851118,0.16071586,0.14357436,0.14294991,0.14329623,0.15623517
27,2014-02-17,0.14614318,0.15595636,0.14029552,0.13931315,0.1393718,0.15721289
28,2014-02-18,0.14635727,0.15149618,0.14119449,0.14047639,0.14060079,0.15805429
29,2014-02-19,0.14623204,0.14676426,0.14069083,0.13981188,0.13894532,0.15751463
30,2014-02-20,0.15300743,0.15718549,0.14375681,0.14116872,0.13953516,0.16024366
31,2014-02-21,0.14989909,0.15233796,0.1435608,0.14232011,0.1412509,0.16329372
32,2014-02-24,0.14105342,0.14830294,0.14226999,0.14392534,0.14523543,0.16260172
33,2014-02-25,0.1718842,0.18310474,0.15588108,0.15057181,0.14949029,0.16871306
34,2014-02-26,0.1722603,0.17772431,0.16090183,0.15762957,0.1573705,0.1782827
35,2014-02-27,0.16738901,0.17224859,0.16069501,0.15950551,0.15852244,0.17874679
36,2014-02-28,0.16566221,0.16932867,0.15820754,0.15674975,0.15542175,0.17424067
37,2014-03-03,0.17653503,0.17923341,0.1606829,0.15557159,0.15480008,0.17679894
38,2014-03-04,0.1827557,0.18361876,0.16321048,0.15594605,0.15415892,0.18123422
39,2014-03-05,0.18268974,0.17945161,0.16279095,0.15537694,0.15621682,0.18531082
40,2014-03-06,0.18365938,0.17455189,0.16198199,0.15399321,0.15391737,0.1824721
41,2014-03-07,0.22282204,0.22784019,0.18301101,0.16452525,0.16137512,0.19381286
42,2014-03-10,0.22817736,0.23155611,0.18802349,0.16821927,0.16511037,0.21104706
43,2014-03-11,0.22170269,0.22715786,0.18543397,0.16497221,0.16055273,0.21050515
44,2014-03-12,0.22120323,0.22013254,0.18285297,0.16267053,0.16011744,0.21072086
45,2014-03-13,0.2334583,0.24167016,0.1961417,0.17274872,0.16675936,0.21946593
46,2014-03-14,0.23510861,0.23478612,0.19974383,0.1781547,0.172319,0.22571505
47,2014-03-17,0.28368133,0.27882165,0.22027312,0.19037563,0.17267477,0.23487011
48,2014-03-18,0.27276296,0.27076341,0.21378255,0.1881702,0.17136292,0.24162811
49,2014-03-19,0.27279253,0.26242944,,,,
50,2014-03-20,0.27286751,0.25485371,,,,
51,2014-03-21,0.27564962,0.25323051,,,,
52,2014-03-24,0.26660603,0.24542168,,,,
53,2014-03-25,0.26652191,0.23785617,,,,
54,2014-03-26,0.26708209,0.23313195,,,,
55,2014-03-27,0.24066148,0.2260126,,,,
56,2014-03-28,0.24221141,0.21935694,,,,
57,2014-03-31,0.24366894,0.21340737,,,,
58,2014-04-01,0.24408881,0.20682286,,,,
59,2014-04-02,0.24151431,0.20176379,,,,
60,2014-04-03,0.23914393,0.19942961,,,,
61,2014-04-04,0.23898401,0.19346451,,,,
62,2014-04-08,0.23962386,0.19373327,,,,
63,2014-04-09,0.20615283,0.18858091,,,,
64,2014-04-10,0.20045561,0.18675857,,,,
65,2014-04-11,0.1987322,0.18100143,,,,
66,2014-04-14,0.19987661,0.17665374,,,,
67,2014-04-15,0.17406512,0.17201856,,,,
68,2014-04-16,0.17426196,0.16780552,,,,
69,2014-04-17,0.09837515,0.16776058,,,,
70,2014-04-18,0.09563659,0.16407868,0.1292349,,0.14137904,
71,2014-04-21,0.11726964,0.18318345,0.13522557,0.13677099,0.14134539,0.1542838
72,2014-04-22,0.11849579,0.17758438,0.13452199,0.13607779,0.13933724,0.15478519
73,2014-04-23,0.11311262,0.1721154,0.12854141,0.13129519,0.13553173,0.14974441
74,2014-04-24,0.12164763,0.17154698,0.13270087,0.13521515,0.13841521,0.1517053
75,2014-04-25,0.12109402,0.16669883,0.13301789,0.1354983,0.13830899,0.15204284
76,2014-04-28,0.12793345,0.17364508,0.13067921,0.12916411,0.13041497,0.14828476
77,2014-04-29,0.12921943,0.16856359,0.13176639,0.13062548,0.13206603,0.15012884
78,2014-04-30,0.13005452,0.16880349,0.1313496,0.1281763,0.12897033,0.14805479
79,2014-05-05,0.12671814,0.16391972,0.13224703,0.12972331,0.12991477,0.1494965
80,2014-05-06,0.12595814,0.15955917,0.12979104,0.1259864,0.12538091,0.14607934
81,2014-05-07,0.12099873,0.15650015,0.12859754,0.12422384,0.12433749,0.14549311
82,2014-05-08,0.126777,0.15497943,0.12933027,0.12587578,0.13001951,0.14907865
83,2014-05-09,0.12673999,0.15166417,0.13019708,0.12668834,0.13125991,0.14817921
84,2014-05-12,0.13511605,0.16651331,0.13143448,0.12415253,0.1309049,0.15095572
85,2014-05-13,0.13191503,0.16433837,0.13045395,0.12193768,0.12900401,0.15264749
86,2014-05-14,0.13133018,0.15932286,0.12933937,0.12202401,0.12943975,0.15339397
87,2014-05-15,0.13087207,0.15759389,0.13151633,0.12405681,0.13091822,0.1543793
88,2014-05-16,0.12606068,0.15561129,0.13112911,0.12295633,0.12858832,0.15444098
89,2014-05-19,0.15436286,0.17147922,0.13851499,0.12661414,0.13426805,0.16048993
90,2014-05-20,0.16220043,0.18200415,0.14423352,0.12955369,0.13445266,0.16023511
91,2014-05-21,0.20492027,0.21810201,0.15910081,0.1369719,0.141634,0.16606086
92,2014-05-22,0.20663044,0.2124818,0.16028899,0.13890171,0.1431352,0.17264586
93,2014-05-23,0.19328467,0.20669955,0.15708263,0.14207419,0.14591324,0.16980174
94,2014-05-26,0.21019967,0.21933894,0.15788174,0.13501368,0.14466643,0.17407445
95,2014-05-27,0.21115081,0.21415084,0.15840907,0.13515463,0.1430595,0.17300265
96,2014-05-28,0.2074879,0.2078872,0.15678911,0.13410042,0.14353402,0.17345875
97,2014-05-29,0.20741447,0.20154176,0.15754525,0.13545531,0.14483933,0.17451084
98,2014-05-30,0.21306358,0.21111216,0.1624111,0.1407892,0.14889524,0.1765214
99,2014-06-03,0.21447024,0.2068383,0.16214799,0.13951374,0.14793555,0.18558209
100,2014-06-04,0.2148089,0.20535199,0.16185982,0.13886431,0.14737691,0.18654257
101,2014-06-05,0.21492771,0.19943082,0.16156007,0.13832069,0.1466441,0.18545405
102,2014-06-06,0.22920999,0.2136792,0.16811064,0.14066424,0.14685598,0.18934258
103,2014-06-09,0.22851119,0.20742234,0.16761995,0.14030921,0.14626296,0.19184311
104,2014-06-10,0.22778143,0.20254084,0.16383239,0.13440051,0.13956621,0.18744541
105,2014-06-11,0.23170318,0.20351265,0.16685109,0.13689453,0.14076682,0.1885024
106,2014-06-12,0.22146742,0.19732056,0.16499793,0.14018371,0.14306555,0.18699926
107,2014-06-13,0.22030168,0.19211667,0.1667762,0.14370535,0.14719645,0.18700007
108,2014-06-16,0.22214939,0.1894776,0.16782597,0.14417328,0.14837464,0.18783706
109,2014-06-17,0.2223135,0.18655058,0.1700323,0.14763051,0.15179271,0.19002251
110,2014-06-18,0.22053418,0.18093749,0.1685286,0.14605403,0.15138939,0.18875914
111,2014-06-19,0.20987177,0.1766416,0.16291781,0.14336056,0.14614351,0.18372726
112,2014-06-20,0.20351164,0.17739992,0.1598801,0.14198953,0.14577998,0.18508815
113,2014-06-23,0.16754855,0.17195424,0.14326199,0.13394296,0.13797214,0.17916885
114,2014-06-24,0.16581045,0.16674319,0.14180974,0.132262,0.1370217,0.17193807
115,2014-06-25,0.16553457,0.16194605,0.13961168,0.12920925,0.13393364,0.16984547
116,2014-06-26,0.14192933,0.15707408,0.13826134,0.13592094,0.13440537,0.16274413
117,2014-06-27,0.1490594,0.16521174,0.14404988,0.1405,0.13872945,0.16723023
118,2014-06-30,0.14913169,0.16100456,0.14078035,0.13567289,0.13239326,0.16451069
119,2014-07-01,0.14986094,0.15618701,0.14114279,0.13617128,0.13448419,0.16642952
120,2014-07-02,0.16446883,0.18596415,0.18155153,0.18734122,0.19227818,0.21194254
