,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.13746743,0.15197229,0.15481384,0.15398107,0.1594608,0.18112447
1,2014-01-03,0.14007241,0.15593736,0.15743278,0.15575369,0.16174569,0.18443251
2,2014-01-06,0.128093,0.1511364,0.15587767,0.15550752,0.16266175,0.18610169
3,2014-01-07,0.13884073,0.15276688,0.16107438,0.1610119,0.16803652,0.19027581
4,2014-01-08,0.13712866,0.1493623,0.15913212,0.15983918,0.16683202,0.18858181
5,2014-01-09,0.14012304,0.15505733,0.16687344,0.16788554,0.17570542,0.19618576
6,2014-01-10,0.14237058,0.15217317,0.16867939,0.17005136,0.17778374,0.19793326
7,2014-01-13,0.1427443,0.14770287,0.16993061,0.17238548,0.18045651,0.20007121
8,2014-01-14,0.14950144,0.14662667,0.16953194,0.17103324,0.17742965,0.19736688
9,2014-01-15,0.13228519,0.14479398,0.15491701,0.15866261,0.16517256,0.18431853
10,2014-01-16,0.1357715,0.15266449,0.16041345,0.16292801,0.16576121,0.1853108
11,2014-01-17,0.13534516,0.14934315,0.16150266,0.16409816,0.16662234,0.18922311
12,2014-01-20,0.17416738,0.20766721,0.18124931,0.17288106,0.17151538,0.20309699
13,2014-01-21,0.17555478,0.20127475,0.17800369,0.16842635,0.1676768,0.2066685
14,2014-01-22,0.16949831,0.19580372,0.17580611,0.17169839,0.16957966,0.20348091
15,2014-01-23,0.18020315,0.19626657,0.17734448,0.17188413,0.16995566,0.20293325
16,2014-01-24,0.18290889,0.19306941,0.18328924,0.17972601,0.17648046,0.20965358
17,2014-01-27,0.1834455,0.19078132,0.18173081,0.17643375,0.17367611,0.20809168
18,2014-01-28,0.19765967,0.21270311,0.19291363,0.18371638,0.18204041,0.21908468
19,2014-01-29,0.20720293,0.21232547,0.1953494,0.18634355,0.18515154,0.22136956
20,2014-01-30,0.20571767,0.20583308,0.1940896,0.18640171,0.18549551,0.22038848
21,2014-02-07,0.20703466,0.21218084,0.19733517,0.19036587,0.18500789,0.21830372
22,2014-02-10,0.22097643,0.21797549,0.20009411,0.19080173,0.183811,0.21548779
23,2014-02-11,0.22038997,0.21634499,0.19878756,0.18924277,0.18195312,0.21296808
24,2014-02-12,0.22533889,0.21392757,0.19944571,0.18882702,0.17983896,0.21048046
25,2014-02-13,0.22012296,0.20889057,0.19635021,0.18524371,0.17591203,0.20671703
26,2014-02-14,0.22214016,0.20356374,0.19554425,0.18400954,0.17450563,0.20552343
27,2014-02-17,0.23447039,0.21588779,0.19992032,0.1868887,0.17402445,0.20716977
28,2014-02-18,0.23481741,0.21331664,0.19978423,0.18579248,0.17237679,0.20653677
29,2014-02-19,0.23662047,0.20825053,0.20029468,0.18611822,0.17499956,0.2089066
30,2014-02-20,0.23567089,0.20609633,0.20019429,0.18539857,0.17399793,0.20843774
31,2014-02-21,0.23520253,0.19979693,0.20009867,0.18584205,0.17437405,0.20953938
32,2014-02-24,0.24748265,0.22299466,0.20566207,0.18753877,0.18096249,0.21695273
33,2014-02-25,0.248995,0.21719904,0.20614695,0.18823456,0.18289615,0.21720689
34,2014-02-26,0.21768885,0.21399142,0.18996476,0.18039291,0.17828091,0.20502474
35,2014-02-27,0.21790735,0.20779756,0.18949082,0.17956917,0.17657592,0.197265
36,2014-02-28,0.21729831,0.20158259,0.18777451,0.17722414,0.17417728,0.19540444
37,2014-03-03,0.21333849,0.1983699,0.187576,0.1780158,0.17557112,0.19659407
38,2014-03-04,0.21583055,0.2030098,0.1995894,0.192932,0.19807947,0.21455256
39,2014-03-05,0.21473903,0.19676162,0.2009541,0.19590971,0.20038924,0.21765288
40,2014-03-06,0.20683859,0.20667867,0.19640545,0.19296999,0.1983828,0.21369031
41,2014-03-07,0.23531324,0.25332273,0.2095782,0.19604283,0.20118021,0.22979339
42,2014-03-10,0.24286895,0.26130017,0.21039647,0.19130656,0.20067354,0.24621093
43,2014-03-11,0.23939231,0.25689571,0.23773193,0.23357004,0.24824479,0.28568434
44,2014-03-12,0.2328064,0.25354243,0.24907695,0.25111933,0.25550423,0.30093504
45,2014-03-13,0.23208749,0.24578508,0.24891148,0.2521295,0.25654702,0.30513882
46,2014-03-14,0.22809033,0.24684371,,,,
47,2014-03-17,0.22846554,0.23942833,,,,
48,2014-03-18,0.23336368,0.23665591,,,,
49,2014-03-19,0.21098759,0.23011721,,,,
50,2014-03-20,0.22785575,0.25676703,,,,
51,2014-03-21,0.22266605,0.25445391,,,,
52,2014-03-24,0.22261491,0.24969245,,,,
53,2014-03-25,0.26601348,0.27708645,,,,
54,2014-03-26,0.25662282,0.26860024,,,,
55,2014-03-27,0.25339849,0.26141279,,,,
56,2014-03-28,0.27012989,0.27191509,,,,
57,2014-03-31,0.27001858,0.26502395,,,,
58,2014-04-01,0.26998412,0.25703778,,,,
59,2014-04-02,0.26983931,0.25071974,,,,
60,2014-04-03,0.29738092,0.27557731,,,,
61,2014-04-04,0.31306613,0.28491235,,,,
62,2014-04-08,0.31368427,0.28501965,,,,
63,2014-04-09,0.28369752,0.27847232,,,,
64,2014-04-10,0.27146484,0.27004629,,,,
65,2014-04-11,0.27046176,0.26413541,,,,
66,2014-04-14,0.26830196,0.25697077,,,,
67,2014-04-15,0.27465743,0.26002033,0.28956481,,0.28099003,
68,2014-04-16,0.27690008,0.26285284,0.28656266,0.29169811,0.27386713,0.3243225
69,2014-04-17,0.2791737,0.25724519,0.28573974,0.28998604,0.27226202,0.32325448
70,2014-04-18,0.32373614,0.31225659,0.29582007,0.28740962,0.26875013,0.33039916
71,2014-04-21,0.32421072,0.30396534,0.29588045,0.28726501,0.26860873,0.33757935
72,2014-04-22,0.30503378,0.29596508,0.28260064,0.27627628,0.26956749,0.33145524
73,2014-04-23,0.30274154,0.29063166,0.29263855,0.29071766,0.29081557,0.33867537
74,2014-04-24,0.29980752,0.28229514,0.29128907,0.28942419,0.28818478,0.33514656
75,2014-04-25,0.27823836,0.27395892,0.27856278,0.28094909,0.2851495,0.33026655
76,2014-04-28,0.28301912,0.27137444,0.27683481,0.27694566,0.28452712,0.32428186
77,2014-04-29,0.28301076,0.26452073,0.27248837,0.27078237,0.27701623,0.31696874
78,2014-04-30,0.27706629,0.26724534,0.27006936,0.26958843,0.27528827,0.3142343
79,2014-05-05,0.28659631,0.27253516,0.27194517,0.26876097,0.2706042,0.30964273
80,2014-05-06,0.2864544,0.26414742,0.27020544,0.26636498,0.26813749,0.30912211
81,2014-05-07,0.28580672,0.25669815,0.27277914,0.27021701,0.27840667,0.31665788
82,2014-05-08,0.26123869,0.24897338,0.25524818,0.25505542,0.26898872,0.30741513
83,2014-05-09,0.24392573,0.24135599,0.25248718,0.25681304,0.27092679,0.29644422
84,2014-05-12,0.2614224,0.26486425,0.25210145,0.25031093,0.26385434,0.28790228
85,2014-05-13,0.26247972,0.26072207,0.25234934,0.25017065,0.26316883,0.28814536
86,2014-05-14,0.26309883,0.25419926,0.24760404,0.24310202,0.25656445,0.28365716
87,2014-05-15,0.26759863,0.2560803,0.25121165,0.24606144,0.25872689,0.28645896
88,2014-05-16,0.27707846,0.26755142,0.25234639,0.24205355,0.25432883,0.28897543
89,2014-05-19,0.26699837,0.26002893,0.25337419,0.2466165,0.25891968,0.29144307
90,2014-05-20,0.26199352,0.25207179,0.24837447,0.24279969,0.25442316,0.28753186
91,2014-05-21,0.26258521,0.24814739,0.25209792,0.24770197,0.25930882,0.28995952
92,2014-05-22,0.21729696,0.24736443,0.24576655,0.25740297,0.27506058,0.2918044
93,2014-05-23,0.21620337,0.23994264,0.2455064,0.25745742,0.27476977,0.28376195
94,2014-05-26,0.24852184,0.27210456,0.25500423,0.25946916,0.2753358,0.2871983
95,2014-05-27,0.24586705,0.26438121,0.24030912,0.24034525,0.24783161,0.26553887
96,2014-05-28,0.25457307,0.26838444,0.24046789,0.23690882,0.24488816,0.26482785
97,2014-05-29,0.25530625,0.26168761,0.24128854,0.23768337,0.24678923,0.26794641
98,2014-05-30,0.25136367,0.25381323,0.23828331,0.23532653,0.24243602,0.26196438
99,2014-06-03,0.25115699,0.24827269,0.23934923,0.23661817,0.24223011,0.26245765
100,2014-06-04,0.24744922,0.2462965,0.23722186,0.23543966,0.2432176,0.26261967
101,2014-06-05,0.24392468,0.24890935,0.23366425,0.23184186,0.24264175,0.26579339
102,2014-06-06,0.24422576,0.24165455,0.23281773,0.23053513,0.24126791,0.26319026
103,2014-06-09,0.24535511,0.23651091,0.22746412,0.22252772,0.22661642,0.25181465
104,2014-06-10,0.24517042,0.2292319,0.22604391,0.2205698,0.2246481,0.25077114
105,2014-06-11,0.24590021,0.22343142,0.22219344,0.21471558,0.21859307,0.24639622
106,2014-06-12,0.22222659,0.22529562,0.21206695,0.20822622,0.21439002,0.24276801
107,2014-06-13,0.22097541,0.21883795,0.21153253,0.20877041,0.21594228,0.2431361
108,2014-06-16,0.22742354,0.22421152,0.21293441,0.20760482,0.21321402,0.23976843
109,2014-06-17,0.22621775,0.22268103,0.21343559,0.21005761,0.2153402,0.2390987
110,2014-06-18,0.20953671,0.21631541,0.20394486,0.20362579,0.20996527,0.22779313
111,2014-06-19,0.21115795,0.21325127,0.19982725,0.19704179,0.20323778,0.22173903
112,2014-06-20,0.21596991,0.21234036,0.20945764,0.20883026,0.21444413,0.23085694
113,2014-06-23,0.21258993,0.205862,0.20498999,0.20392007,0.21032701,0.22848
114,2014-06-24,0.20650879,0.20005377,0.1918733,0.18781566,0.18732677,0.21041592
115,2014-06-25,0.20815074,0.19605139,0.1915399,0.18676375,0.18732315,0.20927207
116,2014-06-26,0.16826953,0.19384188,0.17787392,0.18231513,0.18291108,0.20350511
117,2014-06-27,0.17034723,0.19174308,0.18010485,0.18444581,0.18398993,0.20052552
118,2014-06-30,0.15902301,0.18889696,0.17545155,0.18231889,0.18184439,0.19813397
119,2014-07-01,0.15758078,0.18334135,0.17301479,0.17964404,0.17878381,0.19283348
120,2014-07-02,0.16052715,0.18090749,0.17570441,0.18238767,0.18158872,0.195058
121,2014-07-03,0.1633382,0.18193705,0.17345226,0.17837471,0.17819456,0.19147871
122,2014-07-04,0.16347299,0.18760118,0.17488946,0.17922909,0.17810085,0.19589247
123,2014-07-07,0.1472354,0.18291485,0.17127873,0.17808838,0.17702187,0.19315053
124,2014-07-08,0.15815629,0.18547946,0.17727739,0.18387395,0.18508284,0.20020164
125,2014-07-09,0.16177825,0.18785676,0.17805263,0.18342077,0.18420573,0.19910098
126,2014-07-10,0.16172115,0.18317216,0.17880597,0.18411897,0.18712008,0.20234861
127,2014-07-11,0.16500196,0.1845752,0.18559123,0.19170487,0.19302854,0.20810785
128,2014-07-14,0.15873092,0.17896684,0.185089,0.19391796,0.19493963,0.20793411
129,2014-07-15,0.15951138,0.17464292,0.18343836,0.19157713,0.19198905,0.20989367
130,2014-07-16,0.15027856,0.17199222,0.18011259,0.19049146,0.19235601,0.21073052
131,2014-07-17,0.14139673,0.1670116,0.17490175,0.18540967,0.18908712,0.20855283
132,2014-07-18,0.14584568,0.16986303,0.18000328,0.19020956,0.19352802,0.21253859
