,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.32100552,0.25204074,,,,
1,2014-01-03,0.30165164,0.24804755,,,,
2,2014-01-06,0.30035648,0.24113506,,,,
3,2014-01-07,0.29749048,0.23482276,,,,
4,2014-01-08,0.27310666,0.22887655,,,,
5,2014-01-09,0.2184179,0.22240672,,,,
6,2014-01-10,0.18586963,0.21930746,0.19801638,,0.19050791,
7,2014-01-13,0.16067171,0.21314792,0.18139005,0.18427313,0.18591391,0.21714106
8,2014-01-14,0.17254949,0.21361246,0.17720619,0.17639883,0.1766638,0.20447117
9,2014-01-15,0.17105332,0.20702446,0.17312994,0.17087309,0.17228271,0.20150577
10,2014-01-16,0.15146409,0.20175017,0.15783352,0.1586498,0.16145517,0.19197528
11,2014-01-17,0.1429358,0.20302916,0.15744677,0.1615826,0.16763059,0.18780347
12,2014-01-20,0.14446239,0.1977926,0.1578448,0.16182953,0.16753318,0.18623012
13,2014-01-21,0.14576465,0.19215844,0.15744095,0.16112941,0.16694296,0.18586865
14,2014-01-22,0.14436853,0.18635448,0.15392742,0.15723782,0.16301987,0.18206387
15,2014-01-23,0.142115,0.1806109,0.1496376,0.15269663,0.16019238,0.17801688
16,2014-01-24,0.14522434,0.17725408,0.14893761,0.15102634,0.15723434,0.17539545
17,2014-01-27,0.14390011,0.17204212,0.14824602,0.15026541,0.15606035,0.17453161
18,2014-01-28,0.14398698,0.17352946,0.14676382,0.14819894,0.15619934,0.17584709
19,2014-01-29,0.14968436,0.17353107,0.14870132,0.14936603,0.1569946,0.17480087
20,2014-01-30,0.14953877,0.16871061,0.14718106,0.14714958,0.15526074,0.17314674
21,2014-02-07,0.15077645,0.16506697,0.14381968,0.14228639,0.1473514,0.16763092
22,2014-02-10,0.1721759,0.21637983,0.14695444,0.13611328,0.14126949,0.16683531
23,2014-02-11,0.16846102,0.21112166,0.15378486,0.14745121,0.15332918,0.17262797
24,2014-02-12,0.16847388,0.20551977,0.15409905,0.14789436,0.15437869,0.17384804
25,2014-02-13,0.16701954,0.19952264,0.15547408,0.15025834,0.15626093,0.17507532
26,2014-02-14,0.16685949,0.19459537,0.15419508,0.1485374,0.15470428,0.17395193
27,2014-02-17,0.16535282,0.18969682,0.15358321,0.1475078,0.15221836,0.17258487
28,2014-02-18,0.17938123,0.19877684,0.15889907,0.15126485,0.15623335,0.17668948
29,2014-02-19,0.17935813,0.19327708,0.15787853,0.14979325,0.1535182,0.17498606
30,2014-02-20,0.17701796,0.19032084,0.15828831,0.1521352,0.15776375,0.17743384
31,2014-02-21,0.184156,0.19285115,0.16030992,0.15205688,0.1565223,0.17769261
32,2014-02-24,0.21288729,0.22459696,0.16902582,0.15079443,0.15503876,0.18827475
33,2014-02-25,0.22854195,0.24470905,0.17684022,0.15404918,0.16719722,0.22343977
34,2014-02-26,0.23065025,0.24346496,0.18109253,0.15837391,0.17107044,0.22771486
35,2014-02-27,0.23049276,0.23624135,0.18267168,0.16091244,0.17340624,0.23011799
36,2014-02-28,0.23050912,0.22903797,0.18286525,0.16122792,0.17460444,0.23137123
37,2014-03-03,0.23554701,0.23236004,0.18969556,0.16780103,0.18053265,0.236378
38,2014-03-04,0.24990247,0.24247237,0.19568022,0.17100023,0.18159438,0.2369414
39,2014-03-05,0.25121399,0.23571805,0.1988586,0.17580535,0.18669771,0.24354937
40,2014-03-06,0.2494362,0.23019136,0.19769727,0.17523615,0.18541457,0.24162761
41,2014-03-07,0.24582912,0.22591179,0.20027025,0.17969717,0.18968924,0.24520846
42,2014-03-10,0.2488719,0.22637595,0.21076475,0.19330107,0.20598979,0.26339286
43,2014-03-11,0.25505694,0.22717682,0.21964169,0.20446189,0.21816097,0.27217861
44,2014-03-12,0.21225488,0.22616578,0.21213646,0.20659833,0.22307769,0.27220819
45,2014-03-13,0.21224466,0.22027855,0.21082103,0.20480769,0.22344117,0.26982779
46,2014-03-14,0.21409191,0.22722246,0.21173023,0.20207329,0.22196404,0.27088282
47,2014-03-17,0.21764302,0.23259016,0.21248682,0.1992373,0.22087989,0.27509802
48,2014-03-18,0.21537078,0.22555682,0.2151703,0.20348641,0.22456639,0.27802711
49,2014-03-19,0.21059678,0.22213657,0.21583954,0.20365841,0.22502315,0.2782537
50,2014-03-20,0.20705788,0.21651484,0.21080331,0.19999782,0.22118237,0.27587833
51,2014-03-21,0.2036173,0.210209,0.21078769,0.20003947,0.22132557,0.27582429
52,2014-03-24,0.21388206,0.2085026,0.21463416,0.2050436,0.22592824,0.27920456
53,2014-03-25,0.22939995,0.21512409,0.22343288,0.21616436,0.23757591,0.28906895
54,2014-03-26,0.21224612,0.20953931,0.21770073,0.21814389,0.23948949,0.28509746
55,2014-03-27,0.19388356,0.20484913,0.20847101,0.21341256,0.22842633,0.25469234
56,2014-03-28,0.19406881,0.20199135,0.20305814,0.20720154,0.22270636,0.24849098
57,2014-03-31,0.21512614,0.22018106,0.20940049,0.2089381,0.22840107,0.25794769
58,2014-04-01,0.21530102,0.21352549,0.20935755,0.20886474,0.2279246,0.25885149
59,2014-04-02,0.20922931,0.21008501,0.20898282,0.21069823,0.22935315,0.25947034
60,2014-04-03,0.19376591,0.2063639,0.20349884,0.20801553,0.22914996,0.26054329
61,2014-04-04,0.20615065,0.2144736,,,,
62,2014-04-08,0.20861785,0.21327041,,,,
63,2014-04-09,0.21988661,0.22541408,,,,
64,2014-04-10,0.21639237,0.21954095,,,,
65,2014-04-11,0.20962885,0.21472701,,,,
66,2014-04-14,0.20657929,0.209751,,,,
67,2014-04-15,0.20627227,0.20331606,,,,
68,2014-04-16,0.1962383,0.19811393,,,,
69,2014-04-17,0.18527062,0.19221723,,,,
70,2014-04-18,0.19100074,0.19393203,,,,
71,2014-04-21,0.19409008,0.19827335,,,,
72,2014-04-22,0.20891211,0.21066209,,,,
73,2014-04-23,0.20883407,0.20518606,,,,
74,2014-04-24,0.21481068,0.21237562,,,,
75,2014-04-25,0.20670638,0.20643312,,,,
76,2014-04-28,0.2077329,0.20211494,,,,
77,2014-04-29,0.20661316,0.19652738,,,,
78,2014-04-30,0.20498492,0.19153339,,,,
79,2014-05-05,0.18682722,0.19131742,,,,
80,2014-05-06,0.18969699,0.19161449,,,,
81,2014-05-07,0.1881514,0.18581058,,,,
82,2014-05-08,0.18690147,0.18082417,0.16061773,,0.1459308,
83,2014-05-09,0.17155626,0.17565769,0.15640038,0.14963289,0.1454789,0.17143063
84,2014-05-12,0.16920783,0.17076734,0.1510594,0.14394822,0.13885582,0.16687552
85,2014-05-13,0.15224985,0.16583091,0.14157257,0.13850593,0.13802279,0.15995012
86,2014-05-14,0.15061782,0.16078745,0.13825874,0.13426785,0.13380209,0.1543145
87,2014-05-15,0.15033565,0.15808194,0.13723858,0.13294693,0.13249438,0.15368067
88,2014-05-16,0.15902491,0.16728019,0.14570776,0.14102727,0.14178083,0.16320876
89,2014-05-19,0.16242064,0.1654498,0.14748969,0.14248002,0.14355751,0.16459771
90,2014-05-20,0.1714388,0.17467192,0.15284217,0.14580981,0.14544023,0.16642549
91,2014-05-21,0.17163177,0.16932327,0.15352577,0.14686908,0.1464746,0.16860969
92,2014-05-22,0.16301611,0.16411901,0.14997863,0.14463058,0.14521931,0.16764436
93,2014-05-23,0.15017572,0.15913296,0.14450676,0.14082558,0.14119488,0.15900128
94,2014-05-26,0.14102248,0.16030663,0.13806597,0.13752656,0.1411939,0.15971328
95,2014-05-27,0.14487318,0.16050244,0.1415747,0.14115195,0.1465689,0.16455906
96,2014-05-28,0.12732852,0.15838662,0.1357657,0.13799494,0.14461931,0.15950132
97,2014-05-29,0.12762607,0.15493876,0.13407829,0.13547985,0.14202103,0.15706939
98,2014-05-30,0.12651586,0.15020029,0.13348068,0.13552729,0.14231269,0.15663869
99,2014-06-03,0.12520909,0.14564744,0.13181907,0.13350136,0.14095508,0.15524055
100,2014-06-04,0.13466664,0.15610886,0.13691802,0.13620542,0.14130717,0.15724439
101,2014-06-05,0.13291756,0.15240574,0.13540884,0.13603461,0.1432968,0.15857343
102,2014-06-06,0.12931311,0.15053451,0.13477369,0.13674636,0.14233956,0.1537912
103,2014-06-09,0.12930997,0.14610288,0.13381624,0.13541085,0.14101876,0.15252338
104,2014-06-10,0.12908123,0.14163961,0.13275748,0.13423361,0.13919285,0.15100574
105,2014-06-11,0.13041683,0.13894566,0.1333385,0.13468579,0.14024581,0.15166292
106,2014-06-12,0.13292158,0.13773952,0.13333169,0.1339642,0.13979417,0.15196681
107,2014-06-13,0.18123223,0.19135046,0.14754294,0.13440978,0.13917836,0.16110214
108,2014-06-16,0.18131078,0.18560601,0.14932474,0.13707422,0.14122226,0.16785758
109,2014-06-17,0.18200096,0.18327662,0.16058457,0.1532153,0.1598528,0.18218213
110,2014-06-18,0.17605168,0.18658536,,,,
111,2014-06-19,0.17467241,0.18096847,,,,
112,2014-06-20,0.16019161,0.17565154,,,,
113,2014-06-23,0.16020565,0.17026679,,,,
114,2014-06-24,0.1616974,0.16951544,,,,
115,2014-06-25,0.16726098,0.17607419,,,,
116,2014-06-26,0.16543292,0.17209029,,,,
117,2014-06-27,0.16661777,0.16826194,,,,
118,2014-06-30,0.16248986,0.1631672,,,,
119,2014-07-01,0.16206856,0.15920494,,,,
120,2014-07-02,0.16345317,0.15511037,,,,
121,2014-07-03,0.16395246,0.1503886,,,,
122,2014-07-04,0.14833843,0.14578401,,,,
123,2014-07-07,0.15523227,0.15683389,,,,
124,2014-07-08,0.15226312,0.15267817,,,,
125,2014-07-09,0.16415633,0.15836321,,,,
126,2014-07-10,0.16777958,0.15599455,,,,
127,2014-07-11,0.17097107,0.15309072,,,,
128,2014-07-14,0.17260856,0.14973892,,,,
129,2014-07-15,0.1292047,0.14523033,,,,
130,2014-07-16,0.13167939,0.14333496,,,,
131,2014-07-17,0.13340189,0.1454806,0.16348451,,0.18605955,
132,2014-07-18,0.13579078,0.15412391,0.16660828,0.17793311,0.18784253,0.19521224
133,2014-07-21,0.13557618,0.14943652,0.16556145,0.17659689,0.18602148,0.19409083
134,2014-07-22,0.13702382,0.1466735,0.16707694,0.1782019,0.18758604,0.19547264
135,2014-07-23,0.13712284,0.14247727,0.16863621,0.18015961,0.18907647,0.19672925
136,2014-07-24,0.13217048,0.13815255,0.16874412,0.18148896,0.19113587,0.19795193
137,2014-07-25,0.11989757,0.13564472,0.16485297,0.17934271,0.18948218,0.19293623
138,2014-07-28,0.13250428,0.14636509,0.17100564,0.18431491,0.19582838,0.19872756
139,2014-07-29,0.13184385,0.14261504,0.1705324,0.18392461,0.19581154,0.19942408
140,2014-07-30,0.13178441,0.13828374,0.17040819,0.18377388,0.19571863,0.19942552
141,2014-07-31,0.13194328,0.13551839,0.16944045,0.18247713,0.19561962,0.19972425
142,2014-08-01,0.13692403,0.13956205,0.16146628,0.17049137,0.1826524,0.19007484
143,2014-08-04,0.13949029,0.1376828,0.16171003,0.17026447,0.18215019,0.18925762
144,2014-08-05,0.139711,0.133554,0.16161244,0.17011721,0.18230822,0.18976881
145,2014-08-06,0.12445679,0.13123084,0.16421822,0.17698558,0.19669021,0.20065466
