,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-08-11,,0.07856294,,,,
1,2014-08-12,,0.08402442,,,,
2,2014-08-13,,0.06910092,,,,
3,2014-08-14,,0.06916645,,,,
4,2014-08-15,,0.06371012,,,,
5,2014-08-18,,0.05786686,,,,
6,2014-08-19,,0.05583415,,,,
7,2014-08-20,,0.05135554,,,,
8,2014-08-21,,0.04989354,,,,
9,2014-08-22,,0.0505511,,,,
10,2014-08-25,,0.06073952,,,,
11,2014-08-26,,0.05736509,,,,
12,2014-08-27,,0.06497573,,,,
13,2014-08-28,,0.06355984,,,,
14,2014-08-29,,0.06049563,,,,
15,2014-09-01,,0.05770869,,,,
16,2014-09-02,,0.06073345,,,,
17,2014-09-03,,0.05802241,,,,
18,2014-09-04,,0.05545503,,,,
19,2014-09-05,,0.05376669,,,,
20,2014-09-09,,0.05646078,,,,
21,2014-09-10,0.05358527,0.0541419,0.10294029,,0.12830141,
22,2014-09-11,0.05428602,0.05793244,0.09830338,0.11017121,0.12161594,0.12403857
23,2014-09-12,0.05476183,0.05815339,0.09434346,0.10561271,0.11454371,0.11691167
24,2014-09-15,0.06414635,0.06893061,0.09595115,0.10590504,0.11176741,0.11676362
25,2014-09-16,0.06691454,0.07347983,0.09031939,0.09804004,0.10372992,0.11029916
26,2014-09-17,0.06597066,0.07090912,0.09009203,0.0978543,0.10342646,0.11085288
27,2014-09-18,0.06856747,0.07356071,0.0881057,0.09440178,0.09762231,0.10691091
28,2014-09-19,0.09461825,0.1121776,0.09781308,0.09805406,0.0991706,0.11453105
29,2014-09-22,0.10532843,0.12721263,0.10082212,0.09663993,0.10246359,0.13177755
30,2014-09-23,0.10647225,0.12291386,0.10632557,0.10454686,0.11536915,0.14088043
31,2014-09-24,0.11234245,0.12514432,0.10901235,0.10668101,0.11697046,0.14320172
32,2014-09-25,0.11433181,0.13393132,0.11898485,0.11785722,0.12631253,0.14933182
33,2014-09-26,0.11709212,0.13111525,0.12527768,0.12609724,0.13414131,0.15568
34,2014-09-29,0.11818193,0.12745406,0.1246704,0.12585545,0.13860609,0.15992345
35,2014-09-30,0.11951589,0.12366806,0.12618953,0.12795497,0.14032226,0.16226267
36,2014-10-08,0.11960596,0.11944435,0.13038192,0.13366781,0.14536206,0.16794005
37,2014-10-09,0.13076912,0.12836527,0.13422039,0.13582186,0.14598347,0.16868565
38,2014-10-10,0.13042866,0.12522736,0.13368485,0.13526341,0.1448449,0.1685766
39,2014-10-13,0.14341387,0.13777971,0.1444391,0.14591434,0.1574005,0.17960199
40,2014-10-14,0.14480378,0.13597955,0.14887566,0.15130723,0.16013815,0.18344261
41,2014-10-15,0.14518191,0.13256295,0.149811,0.15237766,0.16083419,0.1855068
42,2014-10-16,0.14461484,0.1286098,0.15032497,0.1533515,0.1614172,0.18661825
43,2014-10-17,0.14854131,0.12963738,0.14824445,0.14931041,0.15613823,0.18344671
44,2014-10-20,0.14844185,0.12732287,0.14909279,0.15051739,0.15841405,0.18755979
45,2014-10-21,0.14790398,0.12341308,0.1490021,0.15055257,0.15803394,0.18749021
46,2014-10-22,0.14599189,0.12446883,0.14830369,0.14970632,0.16087468,0.18882026
47,2014-10-23,0.14869608,0.12581416,0.14966109,0.1511361,0.16107123,0.1891198
48,2014-10-24,0.14919248,0.12230154,0.15071942,0.15248848,0.16240183,0.19295694
49,2014-10-27,0.14802689,0.11892838,0.15040493,0.15252603,0.1628129,0.19315799
50,2014-10-28,0.13003307,0.11513693,0.1438921,0.14979767,0.16137196,0.18829307
51,2014-10-29,0.11641832,0.11151489,0.14111406,0.14980489,0.15851489,0.17611268
52,2014-10-30,0.11785817,0.10923717,0.13685958,0.14401919,0.14891403,0.16868981
53,2014-10-31,0.11541737,0.10750996,0.13642643,0.14448708,0.14928855,0.1688698
54,2014-11-03,0.10459402,0.10586911,0.13098623,0.14002054,0.14020032,0.16745242
55,2014-11-04,0.10372167,0.10302021,0.12859748,0.13726283,0.13781085,0.16803505
56,2014-11-05,0.10463298,0.10093529,0.12753848,0.13585561,0.13331944,0.16327099
57,2014-11-06,0.10545559,0.09986564,0.12679664,0.13459439,0.13202863,0.15971238
58,2014-11-07,0.10537554,0.09674569,0.12290042,0.12948204,0.12686958,0.15465161
59,2014-11-10,0.09583478,0.09456055,0.12201238,0.13133718,0.13141484,0.15788476
60,2014-11-11,0.09458807,0.09161913,0.12143138,0.13088328,0.13088696,0.15668945
61,2014-11-12,0.07690063,0.08932222,0.1085531,0.11894711,0.11570837,0.14377711
62,2014-11-13,0.0733919,0.08652704,0.10242616,0.11206029,0.11224773,0.13909396
63,2014-11-14,0.07184712,0.08381361,0.10123915,0.11090743,0.11153727,0.1363475
64,2014-11-17,0.07157145,0.08154582,0.09893241,0.10804418,0.10869466,0.13336169
65,2014-11-18,0.06446957,0.07908648,0.08896158,0.09713194,0.08997971,0.11892081
66,2014-11-19,0.06351869,0.07865047,0.0872379,0.09516566,0.08639436,0.1129172
67,2014-11-20,0.0639148,0.07686655,0.08715274,0.09499033,0.08660575,0.11267758
68,2014-11-21,0.0559072,0.07451148,0.08407679,0.09290013,0.08133936,0.10832348
69,2014-11-24,0.0471649,0.07259027,0.08064178,0.09052166,0.0809796,0.10789006
70,2014-11-25,0.04693546,0.07105893,0.07850051,0.08791735,0.07737531,0.09967269
71,2014-11-26,0.04607183,0.06903316,0.07808182,0.0875697,0.07670303,0.10029705
72,2014-11-27,0.04750953,0.06831473,0.08319665,0.09358682,0.08267895,0.1046153
73,2014-11-28,0.05200997,0.07041712,0.08461823,0.09448661,0.08465707,0.10702065
74,2014-12-01,0.05000426,0.06827661,0.09398196,0.10640606,0.09152031,0.12495319
75,2014-12-02,0.04687145,0.06620525,0.09187529,0.1043187,0.08973968,0.12508387
76,2014-12-03,0.04601138,0.06593632,0.08525746,0.09641253,0.09039108,0.11917563
77,2014-12-04,0.04561319,0.06434474,0.08156114,0.09194256,0.08494111,0.11150299
78,2014-12-05,0.04502718,0.06363249,0.08014929,0.09031657,0.08554888,0.11070534
79,2014-12-08,0.04150483,0.0623026,0.07859014,0.0889348,0.08468651,0.11014541
80,2014-12-09,0.04290418,0.06145142,0.08049872,0.09107316,0.08721494,0.1109881
81,2014-12-10,0.04174606,0.05960299,0.08224019,0.09344203,0.09157565,0.11468578
82,2014-12-11,0.04209678,0.05810604,0.08295968,0.09426783,0.09257495,0.11653848
83,2014-12-12,0.04431329,0.05987188,0.0842086,0.09532047,0.0938819,0.11779626
84,2014-12-15,0.0474412,0.06069074,0.08482389,0.09559921,0.09510659,0.12115498
85,2014-12-16,0.04961512,0.06144956,0.08527747,0.09568044,0.09409885,0.12095331
86,2014-12-17,0.05280295,0.06292741,0.10718968,0.12205949,0.10107624,0.14883066
87,2014-12-18,0.05985538,0.06938761,0.11284363,0.12771519,0.10802877,0.15551659
88,2014-12-19,0.05724797,0.06724374,0.11340856,0.12875771,0.10997342,0.15681793
89,2014-12-22,0.05684494,0.06521674,0.11385724,0.1294118,0.10934367,0.15801191
90,2014-12-23,0.0573318,0.06352475,0.11413729,0.12971501,0.10957938,0.15924089
91,2014-12-24,0.05709593,0.06157656,0.11371428,0.12926147,0.10942685,0.15894235
92,2014-12-25,0.05622967,0.06001697,0.11951115,0.13638371,0.11319846,0.17084109
93,2014-12-26,0.05588085,0.05816457,0.11972691,0.13667271,0.11362649,0.17175792
94,2014-12-29,0.05420483,0.05729304,0.11767713,0.13427537,0.11304524,0.17143824
95,2014-12-30,0.0591158,0.06404707,0.11749897,0.13357746,0.1118829,0.17037712
96,2014-12-31,0.06037574,0.0639268,0.11619885,0.13174224,0.11311533,0.17010764
97,2015-01-05,0.07393018,0.08049573,0.11545412,0.12788716,0.11216156,0.17379906
98,2015-01-06,0.07952352,0.08439577,0.11978046,0.13241206,0.1113443,0.1751622
99,2015-01-07,0.1024314,0.11282948,0.13106365,0.14045158,0.10881022,0.17575724
100,2015-01-08,0.10297437,0.11110584,0.13073824,0.13979669,0.10833303,0.18219495
101,2015-01-09,0.10307703,0.10768046,0.13019818,0.13917854,0.10722661,0.18153818
102,2015-01-12,0.15978878,0.17115934,0.12836091,0.11587279,0.10413455,0.22167819
103,2015-01-13,0.15977081,0.16588359,0.12391255,0.10896175,0.09302178,0.21678085
104,2015-01-14,0.15966056,0.16077094,0.12298336,0.10754645,0.09091377,0.21523317
105,2015-01-15,0.15864964,0.15581628,0.12168107,0.1060371,0.08872277,0.21412801
106,2015-01-16,0.15786651,0.15101472,0.12046685,0.10453558,0.08547882,0.21152776
107,2015-01-19,0.16627756,0.15918231,,,,
108,2015-01-20,0.16535445,0.15511983,,,,
109,2015-01-21,0.16385759,0.1515262,,,,
110,2015-01-22,0.1638281,0.14691443,,,,
111,2015-01-23,0.16390232,0.14270533,,,,
112,2015-01-26,0.16367937,0.13830953,,,,
113,2015-01-27,0.17484161,0.15383081,,,,
114,2015-01-28,0.17538215,0.15095238,,,,
115,2015-01-29,0.17524691,0.14684179,,,,
116,2015-01-30,0.17560985,0.14238113,,,,
117,2015-02-02,0.19182652,0.16387218,,,,
118,2015-02-03,0.19297336,0.16192544,,,,
119,2015-02-04,0.1902781,0.16040754,,,,
120,2015-02-05,0.18823301,0.15846228,,,,
121,2015-02-06,0.17923574,0.15540261,,,,
122,2015-02-09,0.18202232,0.15673082,,,,
123,2015-02-10,0.1857361,0.1565325,,,,
124,2015-02-11,0.13742004,0.15194233,,,,
125,2015-02-12,0.13902665,0.14820135,,,,
126,2015-02-13,0.13882568,0.14396555,,,,
127,2015-02-16,0.1394219,0.13978073,,,,
128,2015-02-17,0.14211611,0.14176287,0.14323237,,0.18346367,
129,2015-02-25,0.13468864,0.13765413,0.142332,0.14518941,0.18251754,0.26783234
130,2015-02-26,0.13455639,0.1334164,0.13475569,0.13507448,0.16741189,0.25802171
131,2015-02-27,0.13415965,0.12930921,0.13468933,0.13536572,0.16741189,0.25687736
132,2015-03-02,0.13574368,0.12873603,0.13583825,0.13604692,0.16741189,0.26311843
133,2015-03-03,0.14935338,0.14094328,0.14408052,0.14313886,0.18475945,0.28059331
134,2015-03-04,0.14968153,0.13745237,0.14408052,0.14290357,0.18475945,0.28094627
135,2015-03-05,0.13586952,0.13463894,0.13179411,0.13138175,0.15728427,0.25658034
136,2015-03-06,0.1363296,0.13314221,0.12573616,0.12270991,0.14822175,0.25158295
137,2015-03-09,0.13582069,0.12916259,0.12562441,0.12270123,0.14930447,0.25216688
138,2015-03-10,0.13941458,0.12992111,0.13031214,0.12796106,0.15927536,0.25230681
139,2015-03-11,0.11429585,0.12654964,0.1209449,0.12380212,0.14614487,0.21810624
140,2015-03-12,0.11460268,0.1254898,0.11806416,0.1202353,0.14987135,0.22332598
141,2015-03-13,0.11308291,0.12419538,0.10699179,0.10553597,0.14268775,0.19426529
142,2015-03-16,0.11052068,0.12102822,0.10674329,0.10625697,0.14268775,0.19004442
143,2015-03-17,0.10868057,0.11750994,0.10819592,0.10895924,0.14344166,0.19043884
144,2015-03-18,0.10630261,0.11914676,0.10611989,0.10698042,0.14344166,0.19334034
145,2015-03-19,0.10388673,0.11882886,0.10434545,0.10541854,0.14228365,0.19848131
146,2015-03-20,0.10359879,0.11517978,0.10459837,0.10585811,0.14228365,0.19823389
147,2015-03-23,0.10308355,0.11268891,0.11756012,0.12332693,0.14228365,0.22551464
148,2015-03-24,0.10361798,0.10994346,0.11756012,0.12325125,0.14228365,0.22952106
149,2015-03-25,0.10325803,0.10656861,0.11756012,0.12333014,0.14228365,0.22938746
150,2015-03-26,0.09714628,0.10389281,0.11895415,0.12702688,0.14486904,0.22777497
151,2015-03-27,0.10990446,0.11757643,0.12360094,0.12903954,0.14983923,0.24617046
152,2015-03-30,0.10986302,0.11399308,0.1488852,0.16186378,0.18217339,0.26486579
153,2015-03-31,0.11191153,0.11412129,0.1495629,0.16199894,0.18233584,0.26937995
154,2015-04-01,0.11134358,0.11360054,0.14852018,0.16083905,0.18233584,0.26425837
155,2015-04-02,0.09906171,0.12190378,0.14053853,0.15206004,0.16473326,0.25049699
156,2015-04-03,0.11445435,0.13103182,0.17232928,0.18986388,0.16784831,0.27698726
157,2015-04-07,0.11418237,0.12798965,0.1729814,0.19078065,0.1684039,0.28316168
158,2015-04-08,0.11233981,0.12848001,0.1800465,0.19933154,0.17082863,0.28427349
159,2015-04-09,0.11459636,0.12618436,0.17927813,0.19808766,0.1686715,0.28365119
160,2015-04-10,0.13147069,0.14989728,0.18521619,0.2010294,0.17694162,0.30047049
