,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.04059445,0.04206919,0.03786447,0.0369788,0.03947104,0.04274236
1,2014-01-03,0.03946677,0.04080753,0.03678971,0.03576343,0.03804058,0.04215248
2,2014-01-06,0.03913193,0.03971412,0.03484488,0.0331658,0.03503629,0.03981636
3,2014-01-07,0.03916088,0.03962581,0.03415533,0.0323758,0.03362016,0.03804244
4,2014-01-08,0.04026436,0.03993246,0.03466915,0.032669,0.03396279,0.03904089
5,2014-01-09,0.04000861,0.03957641,0.03468804,0.03281776,0.03320079,0.03836789
6,2014-01-10,0.03734554,0.03838922,0.0343255,0.03343345,0.03430506,0.03846243
7,2014-01-13,0.03705886,0.03734328,0.03379922,0.03282199,0.03372266,0.0378844
8,2014-01-14,0.03492426,0.03619432,0.03279136,0.03222981,0.03284697,0.03632356
9,2014-01-15,0.03687132,0.0378688,0.03326429,0.03213162,0.0326881,0.0361557
10,2014-01-16,0.03312566,0.03745977,0.03228644,0.03224358,0.03280641,0.035759
11,2014-01-17,0.03274688,0.03630429,0.03196161,0.03194878,0.03256574,0.03545403
12,2014-01-20,0.03261353,0.0357757,0.03148127,0.03128663,0.03154557,0.03471369
13,2014-01-21,0.03416656,0.03706872,0.03216738,0.03149232,0.03218935,0.03612435
14,2014-01-22,0.03434758,0.03635853,0.03223309,0.03144251,0.03237652,0.03637415
15,2014-01-23,0.0332123,0.03577713,0.0307264,0.02997905,0.03120201,0.03534369
16,2014-01-24,0.03331502,0.03505764,0.02968422,0.02837481,0.02929453,0.03360031
17,2014-01-27,0.03472669,0.03648848,0.02993043,0.02801668,0.02967828,0.0350554
18,2014-01-28,0.03512997,0.03615666,0.03015194,0.02819216,0.02979986,0.03515134
19,2014-01-29,0.03472768,0.03515906,0.0303486,0.028553,0.03007517,0.03527434
20,2014-01-30,0.03447154,0.03464674,0.02976657,0.02802176,0.02959052,0.03486095
21,2014-02-07,0.03555463,0.0353369,0.02944125,0.02689755,0.02793066,0.03342904
22,2014-02-10,0.03146086,0.0351216,0.02883886,0.02765988,0.02934967,0.03395558
23,2014-02-11,0.0317331,0.03503515,0.0289889,0.02753592,0.02922742,0.03300874
24,2014-02-12,0.03167697,0.03411453,0.02879519,0.02726704,0.02882472,0.03275644
25,2014-02-13,0.03119194,0.03355894,0.02824247,0.02675633,0.02868468,0.0326233
26,2014-02-14,0.0303533,0.03258761,0.02769625,0.02658831,0.02837374,0.0314727
27,2014-02-17,0.03129442,0.03361653,0.02676445,0.02486149,0.0271852,0.0309782
28,2014-02-18,0.0342749,0.03574043,0.02674593,0.02356062,0.02568034,0.03099195
29,2014-02-19,0.03431411,0.03483176,0.0270083,0.02395474,0.02581372,0.0316955
30,2014-02-20,0.03435115,0.03385476,0.02719609,0.02421133,0.02600516,0.03185702
31,2014-02-21,0.03217414,0.03290416,0.0263844,0.02414338,0.02612742,0.03155709
