,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2018-08-20,,0.00881035,,,,
1,2018-08-21,,0.00703201,,,,
2,2018-08-22,,0.00582767,,,,
3,2018-08-23,,0.00800685,,,,
4,2018-08-24,,0.00752898,,,,
5,2018-08-27,,0.0073234,,,,
6,2018-08-28,,0.00667603,,,,
7,2018-08-29,,0.0065203,,,,
8,2018-08-30,,0.00688618,,,,
9,2018-08-31,,0.00644765,,,,
10,2018-09-03,,0.00654279,,,,
11,2018-09-04,,0.00672413,,,,
12,2018-09-05,,0.00635275,,,,
13,2018-09-06,,0.00601908,,,,
14,2018-09-07,,0.00576136,,,,
15,2018-09-10,,0.00548377,,,,
16,2018-09-11,,0.00524646,,,,
17,2018-09-12,,0.00500556,,,,
18,2018-09-13,,0.00498748,,,,
19,2018-09-14,,0.00497135,,,,
20,2018-09-17,,0.00519161,,,,
21,2018-09-18,0.00543599,0.00498176,0.00808864,,0.0091112,
22,2018-09-19,0.00531455,0.0049671,0.00751285,0.0082245,0.00874759,0.01079832
23,2018-09-20,0.00535609,0.00501828,0.00720667,0.00782622,0.00837502,0.01056098
24,2018-09-21,0.00552519,0.00521701,0.0069849,0.00748859,0.00799135,0.01017129
25,2018-09-25,0.00502072,0.00513527,0.00696904,0.00761703,0.00788136,0.00970597
26,2018-09-26,0.00511424,0.00531556,0.00687232,0.00747025,0.00751192,0.00940518
27,2018-09-27,0.00520324,0.00564407,0.00668651,0.00718851,0.00725362,0.00935282
28,2018-09-28,0.00521591,0.00544004,0.00640375,0.00682228,0.00692499,0.00913167
29,2018-10-08,0.0051156,0.00524604,0.00634413,0.00678443,0.00693059,0.00908819
30,2018-10-09,0.00524699,0.00576225,0.00621596,0.00657737,0.00670203,0.00884784
31,2018-10-10,0.0052438,0.00555666,0.00605465,0.00636887,0.00646389,0.00878127
32,2018-10-11,0.00534521,0.00601607,0.00609547,0.00634577,0.00652359,0.00932275
33,2018-10-12,0.00492253,0.00582028,0.00605129,0.00637197,0.0064944,0.00924687
34,2018-10-15,0.00497404,0.00565293,0.00600954,0.00630988,0.00641787,0.00917795
35,2018-10-16,0.00496398,0.00555575,0.00607833,0.00637961,0.00646702,0.00920623
36,2018-10-17,0.00496398,0.00540155,0.00607811,0.00637935,0.00647341,0.00921189
37,2018-10-18,0.00492728,0.00525463,0.00601543,0.00628936,0.00640075,0.00918175
38,2018-10-19,0.00525717,0.00540338,0.00616881,0.00642548,0.0065338,0.009284
39,2018-10-22,0.00564948,0.00561055,0.00615762,0.00632278,0.00650912,0.00943776
40,2018-10-23,0.00573865,0.00572643,0.00609865,0.00620275,0.00621206,0.00931317
41,2018-10-24,0.00570572,0.00559595,0.00612243,0.00625318,0.00617916,0.00930345
42,2018-10-25,0.00559293,0.00550552,0.00612158,0.00630212,0.0063809,0.00883418
43,2018-10-26,0.00558104,0.00532432,0.0060777,0.00624387,0.00640344,0.00871028
44,2018-10-29,0.00597225,0.00619438,0.00623939,0.00623908,0.0064768,0.00882699
45,2018-10-30,0.0057577,0.00599553,0.00639457,0.00649481,0.00670171,0.0089245
46,2018-10-31,0.00567138,0.00588745,0.00642978,0.0065908,0.00680432,0.00898081
47,2018-11-01,0.00550815,0.00570013,0.00644623,0.00663336,0.00683115,0.00900036
48,2018-11-02,0.0056131,0.005646,0.00654787,0.00680731,0.00710428,0.00929292
49,2018-11-05,0.00552918,0.00575502,0.00673545,0.00708849,0.00702998,0.00913917
50,2018-11-06,0.00669095,0.0074884,0.00707985,0.00706406,0.00692127,0.00933675
51,2018-11-07,0.00725597,0.00837401,0.00782912,0.00777839,0.0072885,0.01011722
52,2018-11-08,0.00722077,0.00845213,0.00789152,0.0078841,0.00690776,0.01036052
53,2018-11-09,0.00754298,0.00837602,0.00799247,0.00796773,0.00706292,0.01041132
54,2018-11-12,0.00740022,0.00810955,0.00792335,0.00799053,0.00696345,0.00989096
55,2018-11-13,0.0074788,0.0078746,0.0080185,0.00811765,0.006957,0.01004143
56,2018-11-14,0.0089161,0.01004918,0.00868183,0.00832463,0.00761671,0.01074745
57,2018-11-15,0.00894069,0.00973332,0.00865467,0.00830151,0.0076941,0.01088975
58,2018-11-16,0.00883623,0.00945913,0.00883839,0.00856119,0.00799444,0.01106698
59,2018-11-19,0.00891148,0.00916943,0.00890787,0.0086637,0.00817267,0.01116803
60,2018-11-20,0.00878346,0.00895954,0.00880094,0.00854058,0.00809963,0.01113714
61,2018-11-21,0.00840711,0.00868011,0.00903479,0.0089348,0.00833917,0.01140203
62,2018-11-22,0.00843112,0.00840757,0.00899873,0.00893504,0.00849191,0.01147826
63,2018-11-23,0.00851453,0.00815346,0.00921209,0.00923883,0.00892736,0.01172416
64,2018-11-26,0.00851973,0.00792017,0.00959736,0.00977659,0.00931877,0.01240533
65,2018-11-27,0.00889658,0.0079725,0.01047931,0.01089909,0.01072897,0.0144113
66,2018-11-28,0.00908955,0.00876052,0.01038262,0.01069319,0.01075299,0.01489157
67,2018-11-29,0.00908955,0.00848923,0.01043636,0.01076547,0.0105997,0.01508516
68,2018-11-30,0.00984382,0.00895426,0.01042437,0.01059464,0.01053413,0.01508302
69,2018-12-03,0.0098638,0.00867734,,,,
70,2018-12-04,0.01011103,0.00928081,,,,
71,2018-12-05,0.0100923,0.00899407,,,,
72,2018-12-06,0.00939188,0.00879364,,,,
73,2018-12-07,0.00885391,0.00857667,,,,
74,2018-12-10,0.00869171,0.00833106,,,,
75,2018-12-11,0.00859158,0.00815781,,,,
76,2018-12-12,0.00858299,0.00791439,,,,
77,2018-12-13,0.00903152,0.00821255,,,,
78,2018-12-14,0.00714818,0.00797966,,,,
79,2018-12-17,0.00716496,0.00775473,,,,
80,2018-12-18,0.00713149,0.00751708,,,,
81,2018-12-19,0.00712718,0.00728696,,,,
82,2018-12-20,0.00766553,0.00789153,,,,
83,2018-12-21,0.00781537,0.00780631,,,,
84,2018-12-24,0.00788891,0.00768812,,,,
85,2018-12-25,0.00787204,0.00745296,,,,
86,2018-12-26,0.0080454,0.00753583,,,,
87,2018-12-27,0.00774069,0.00730556,,,,
88,2018-12-28,0.00740851,0.00773869,,,,
89,2019-01-02,0.00776856,0.00812438,,,,
90,2019-01-03,0.00687099,0.0078832,0.01002921,,0.00989009,
91,2019-01-04,0.00685382,0.0076398,0.00839115,0.00879726,0.00931426,0.0119226
92,2019-01-07,0.00622499,0.00740654,0.00817826,0.0087701,0.0093765,0.01100881
93,2019-01-08,0.00674152,0.00799037,0.00828162,0.00870213,0.00945149,0.01063159
94,2019-01-09,0.00686287,0.00780485,0.00833101,0.00877428,0.00955718,0.01072962
95,2019-01-10,0.00685165,0.00758648,0.0083458,0.0088038,0.00957429,0.01071657
96,2019-01-11,0.00685506,0.00739355,0.0091657,0.00986584,0.01074209,0.0118174
97,2019-01-14,0.00667856,0.00718917,0.0093973,0.01017808,0.0110469,0.01211912
98,2019-01-15,0.00667856,0.00697842,0.00941142,0.01019616,0.01105266,0.01213951
99,2019-01-16,0.00720992,0.00880682,0.00981154,0.01038772,0.01115424,0.01239981
100,2019-01-17,0.00710452,0.00875387,0.01012522,0.01075087,0.01143101,0.01285096
101,2019-01-18,0.00744843,0.00870385,0.01024636,0.01086322,0.01150557,0.01289857
102,2019-01-21,0.00798022,0.00875274,0.01025539,0.01080289,0.01156073,0.0131205
103,2019-01-22,0.00801529,0.00874854,0.01049134,0.01105335,0.01173834,0.01325343
104,2019-01-23,0.00773144,0.00847891,0.01054875,0.01128851,0.01190091,0.01332053
105,2019-01-24,0.00957909,0.01019275,0.01092514,0.01134995,0.01205936,0.01363803
106,2019-01-25,0.00977783,0.01003279,0.01096608,0.01138931,0.01211424,0.01378042
107,2019-01-28,0.00977783,0.00972561,0.01096568,0.01138878,0.01213948,0.01380694
108,2019-01-29,0.00969901,0.00952423,0.01082505,0.01123625,0.01210977,0.01377527
109,2019-01-30,0.01000207,0.00952233,0.01155414,0.01213689,0.01292861,0.01446405
110,2019-01-31,0.00968754,0.00923726,0.01075109,0.01119145,0.01111997,0.01376845
111,2019-02-01,0.0094995,0.00916199,0.01070643,0.01120881,0.0111161,0.01360979
112,2019-02-11,0.01100213,0.01095963,0.01226795,0.0127855,0.01136822,0.01431368
113,2019-02-12,0.01100213,0.01062206,0.01224435,0.0127541,0.01141657,0.01474851
114,2019-02-13,0.01099663,0.01029489,0.01221744,0.01271871,0.01136152,0.01469547
115,2019-02-14,0.0106664,0.01004606,0.01294047,0.01378931,0.01164881,0.01692425
116,2019-02-15,0.01064738,0.00978521,0.01292883,0.01377418,0.01160581,0.01718126
117,2019-02-18,0.01066029,0.00950173,0.01297613,0.0138357,0.01168119,0.01722827
118,2019-02-19,0.01071889,0.00933963,0.01249361,0.01318576,0.01058051,0.01652391
119,2019-02-20,0.01073634,0.00910421,0.0122973,0.01292063,0.01020459,0.01632042
120,2019-02-21,0.01079632,0.00890042,0.01223592,0.01282594,0.01011931,0.01626407
121,2019-02-22,0.00956111,0.00862636,0.01177096,0.01257917,0.00997246,0.0160154
122,2019-02-25,0.00942,0.00847069,0.01144228,0.01217433,0.00954053,0.01564494
123,2019-02-26,0.01021799,0.00944184,0.01172353,0.0123303,0.00948119,0.01575499
124,2019-02-27,0.01080715,0.01035914,0.01370371,0.01471697,0.01176483,0.01758993
125,2019-02-28,0.01387263,0.0145016,0.01346884,0.01331762,0.01149835,0.02086286
126,2019-03-01,0.01387263,0.01405513,0.01335887,0.01316316,0.01129716,0.02074273
127,2019-03-04,0.01246183,0.01363503,,,,
128,2019-03-05,0.01229917,0.01322825,,,,
129,2019-03-06,0.01248837,0.01291551,,,,
130,2019-03-07,0.01248349,0.01255568,,,,
131,2019-03-08,0.01213207,0.01229505,,,,
132,2019-03-11,0.01234331,0.01201816,,,,
133,2019-03-12,0.01213766,0.01166294,,,,
134,2019-03-13,0.01121528,0.01131911,,,,
135,2019-03-14,0.01132603,0.01103274,,,,
136,2019-03-15,0.01148639,0.01080624,,,,
137,2019-03-18,0.01157133,0.0106196,,,,
138,2019-03-19,0.01158075,0.0102927,,,,
139,2019-03-20,0.01194234,0.01039652,,,,
140,2019-03-21,0.01209565,0.0104931,,,,
141,2019-03-22,0.0121108,0.01026117,,,,
142,2019-03-25,0.01219364,0.01042288,,,,
143,2019-03-26,0.0121788,0.01010962,,,,
144,2019-03-27,0.01202413,0.00981596,,,,
145,2019-03-28,0.0115276,0.00952185,,,,
146,2019-03-29,0.01089052,0.00923704,,,,
147,2019-04-01,0.00628823,0.00916268,,,,
148,2019-04-02,0.00635405,0.00893382,0.00688717,,0.00813739,
149,2019-04-03,0.00767025,0.01003342,0.00726516,0.00713674,0.00819155,0.00935144
150,2019-04-04,0.00863998,0.01088096,0.00771324,0.00730998,0.00823675,0.01005428
151,2019-04-08,0.00864971,0.01057498,0.0075412,0.00709398,0.0079629,0.00992722
152,2019-04-09,0.00896562,0.01083623,0.0076905,0.00708299,0.00795217,0.00996488
153,2019-04-10,0.0087448,0.01050453,0.00779521,0.00730041,0.00821886,0.01001397
154,2019-04-11,0.00881462,0.01022798,0.00776917,0.00729116,0.00834332,0.01010102
155,2019-04-12,0.00881462,0.0099305,0.0077553,0.00727061,0.00832968,0.01005099
156,2019-04-15,0.0092341,0.01031752,0.00796966,0.0073236,0.00872577,0.01129061
157,2019-04-16,0.00924394,0.01009309,0.00800296,0.00736377,0.00873579,0.01127619
158,2019-04-17,0.00934483,0.00985245,0.00839029,0.0079582,0.00946586,0.01172892
159,2019-04-18,0.00928285,0.00956719,0.00839042,0.00800807,0.00948411,0.01172192
160,2019-04-19,0.00936366,0.00932406,0.00839051,0.00799086,0.00947817,0.01172658
161,2019-04-22,0.00917606,0.00920736,0.0069751,0.00594044,0.00682275,0.01006704
162,2019-04-23,0.00866601,0.00892612,0.00702214,0.00621881,0.00682918,0.01021135
163,2019-04-24,0.00854283,0.00882911,0.00825073,0.0080204,0.00682918,0.01174315
164,2019-04-25,0.00797261,0.00861296,0.0082325,0.00815179,0.00712259,0.01207992
165,2019-04-26,0.00791985,0.00835016,0.00810264,0.00797144,0.00696758,0.01181569
166,2019-04-29,0.00781614,0.00813082,0.00812601,0.00799943,0.00715494,0.01191382
167,2019-04-30,0.01037498,0.01056875,0.00886276,0.00818639,0.00713104,0.01214789
168,2019-05-06,0.01057694,0.01042818,0.00905026,0.00840303,0.00724888,0.01261949
169,2019-05-07,0.01051115,0.01010912,0.00896242,0.00833703,0.00698732,0.01255243
170,2019-05-08,0.01043558,0.00981551,0.0089626,0.00834783,0.00705256,0.01258721
171,2019-05-09,0.00958941,0.00952144,0.00840873,0.00798424,0.00702022,0.012509
172,2019-05-10,0.00861739,0.00923046,0.0080249,0.00786721,0.0069999,0.01195923
173,2019-05-13,0.00896536,0.00941306,0.00800999,0.00769758,0.00684911,0.01257487
174,2019-05-14,0.00849527,0.00925631,0.00787536,0.00769186,0.00684911,0.01260113
175,2019-05-15,0.00862781,0.0091066,0.00773822,0.00744983,0.00647457,0.0125222
176,2019-05-16,0.00860311,0.00884577,0.00773819,0.00746167,0.00641453,0.01247526
177,2019-05-17,0.00863094,0.00865332,0.00777808,0.00749909,0.00642789,0.01249638
178,2019-05-20,0.00789587,0.00838927,0.00757745,0.00748019,0.00594195,0.01141747
179,2019-05-21,0.00776318,0.00813342,0.007515,0.00742826,0.00590315,0.01140017
