,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2014-01-02,0.09903367,0.10731061,0.12382161,0.13050203,0.13157143,0.14123791
1,2014-01-03,0.10072304,0.10973682,0.12081501,0.12578587,0.1254071,0.13638322
2,2014-01-06,0.10625867,0.11736373,0.12259516,0.12557231,0.12537987,0.13899663
3,2014-01-07,0.10499387,0.11477307,0.12314206,0.12654749,0.12542608,0.13919844
4,2014-01-08,0.09996518,0.11296836,0.12312043,0.12670978,0.1255002,0.13881359
5,2014-01-09,0.09989062,0.11037671,0.1236668,0.12760007,0.12855836,0.1414735
6,2014-01-10,0.10493935,0.10966391,0.133059,0.13949886,0.14384531,0.15352712
7,2014-01-13,0.09828475,0.10838819,0.13168076,0.14029151,0.14751749,0.15524598
8,2014-01-14,0.10249943,0.10778263,0.13222606,0.1408177,0.14847899,0.15397515
9,2014-01-15,0.10051298,0.10504659,0.12433188,0.13190678,0.13975071,0.14530261
10,2014-01-16,0.09645333,0.10193944,0.12286121,0.13060655,0.13832407,0.14410107
11,2014-01-17,0.09720329,0.09893552,0.12347503,0.13142163,0.13929051,0.1447026
12,2014-01-20,0.09941615,0.10276655,0.12575535,0.13296202,0.14124029,0.14656246
13,2014-01-21,0.09582133,0.10635948,0.12094255,0.12791675,0.13867905,0.14593906
14,2014-01-22,0.09340788,0.10451296,0.12073501,0.12863724,0.14101325,0.14551247
15,2014-01-23,0.09340401,0.10128323,0.12377665,0.13258392,0.14555413,0.14895119
16,2014-01-24,0.0937397,0.10153461,0.12510268,0.13423337,0.14622221,0.14972114
17,2014-01-27,0.09610739,0.103862,0.12479105,0.1328406,0.14537597,0.14893139
18,2014-01-28,0.09625899,0.10191119,0.12471616,0.13251657,0.14455293,0.14868811
19,2014-01-29,0.0951197,0.09914277,0.12431653,0.13216256,0.14467505,0.14888734
20,2014-01-30,0.09016098,0.09646991,0.12105893,0.1302888,0.14383458,0.14774295
21,2014-02-07,0.10308903,0.11434654,0.1219646,0.1266133,0.13886831,0.14408079
22,2014-02-10,0.1031445,0.11363194,0.12384389,0.1284172,0.14256742,0.15195139
23,2014-02-11,0.10094979,0.11060983,0.12396072,0.12981522,0.14559337,0.15398549
24,2014-02-12,0.0964613,0.10802247,0.121071,0.12854562,0.14444033,0.15032463
25,2014-02-13,0.09838821,0.11270365,0.1210402,0.1268102,0.1423574,0.14853031
26,2014-02-14,0.10029566,0.11024199,0.12065046,0.12648939,0.14182338,0.14823869
27,2014-02-17,0.11794213,0.12437581,0.12330472,0.12563849,0.1410451,0.15040363
28,2014-02-18,0.11604322,0.12311047,0.11417871,0.11299722,0.12603922,0.1383551
29,2014-02-19,0.11748315,0.12083968,0.10988517,0.10705185,0.11826983,0.13246979
30,2014-02-20,0.11486704,0.11866775,0.10762111,0.10411572,0.11534682,0.13013324
31,2014-02-21,0.11661232,0.11711098,0.10758851,0.10356744,0.11506295,0.12954029
32,2014-02-24,0.1184361,0.11764932,0.11110579,0.10735204,0.11863965,0.13224752
33,2014-02-25,0.12828451,0.12451328,0.11872774,0.11505958,0.12760254,0.13960382
34,2014-02-26,0.12599418,0.12123644,0.11608391,0.11283828,0.12559303,0.1388541
35,2014-02-27,0.12278005,0.11793851,0.11615777,0.11457569,0.12627889,0.13691502
36,2014-02-28,0.12214759,0.11463463,0.11450281,0.11253019,0.12236396,0.1326944
37,2014-03-03,0.1831724,0.19402868,0.11767891,0.07980107,0.12149369,0.1711905
38,2014-03-04,0.18408195,0.19508469,0.11736255,0.07536573,0.12224734,0.18726903
39,2014-03-05,0.18502766,0.19011893,0.11761199,0.07723277,0.12331971,0.18847715
40,2014-03-06,0.18498264,0.18431598,0.11751711,0.07747046,0.12345297,0.18794719
41,2014-03-07,0.18437436,0.17943089,0.12334934,0.08881827,0.13157168,0.19273789
42,2014-03-10,0.20279564,0.20616577,0.1513347,0.12255271,0.16179172,0.21961656
43,2014-03-11,0.22182246,0.2248148,0.16287963,0.13500372,0.16228299,0.2205834
44,2014-03-12,0.22130128,0.21815505,0.16386642,0.13719262,0.16158722,0.22417527
45,2014-03-13,0.22152174,0.21148425,0.16306045,0.13594691,0.15889512,0.22309686
46,2014-03-14,0.22237013,0.20626367,0.16513942,0.13901412,0.16118741,0.2246166
47,2014-03-17,0.22230551,0.20246709,0.1635936,0.13720663,0.1602767,0.22501777
48,2014-03-18,0.22214314,0.19660596,0.16394092,0.13785946,0.16099276,0.22563547
49,2014-03-19,0.21403554,0.19064617,0.16096998,0.13721241,0.15941306,0.22256422
50,2014-03-20,0.21446884,0.1872582,0.16184704,0.13832353,0.15916052,0.22265725
51,2014-03-21,0.21327664,0.18154843,0.16295955,0.14047913,0.1609776,0.22430711
52,2014-03-24,0.21326292,0.17606289,0.16394501,0.14239492,0.16357838,0.22595126
53,2014-03-25,0.21660271,0.17660074,0.16978352,0.15006481,0.16958259,0.23078572
54,2014-03-26,0.21622287,0.17321889,,,,
55,2014-03-27,0.21079545,0.16798932,,,,
56,2014-03-28,0.21015146,0.16292423,,,,
57,2014-03-31,0.2099051,0.15801864,,,,
58,2014-04-01,0.2105669,0.15360936,,,,
59,2014-04-02,0.15887408,0.14888691,,,,
60,2014-04-03,0.15158794,0.14431024,,,,
61,2014-04-04,0.15209902,0.14208801,,,,
62,2014-04-08,0.1548213,0.14284984,,,,
63,2014-04-09,0.1540703,0.13872666,,,,
64,2014-04-10,0.11238377,0.13473866,,,,
65,2014-04-11,0.07543957,0.13124145,,,,
66,2014-04-14,0.07981095,0.13016398,,,,
67,2014-04-15,0.08012966,0.12699375,,,,
68,2014-04-16,0.08124722,0.12431862,,,,
69,2014-04-17,0.07765572,0.12057119,,,,
70,2014-04-18,0.07745356,0.1169418,,,,
71,2014-04-21,0.08014823,0.11634004,,,,
72,2014-04-22,0.07426729,0.11321537,,,,
73,2014-04-23,0.07411002,0.10976862,,,,
74,2014-04-24,0.07431796,0.10701854,,,,
75,2014-04-25,0.0658698,0.10421822,0.09169747,,0.10909888,
76,2014-04-28,0.08278728,0.11818931,0.09894985,0.10505084,0.11239663,0.11541945
77,2014-04-29,0.08285945,0.1147872,0.09931206,0.10549757,0.1129025,0.1171668
78,2014-04-30,0.08293065,0.11172741,0.1003337,0.10673373,0.11486614,0.11905388
79,2014-05-05,0.08388411,0.10909207,0.10112224,0.10757275,0.11443412,0.11866255
80,2014-05-06,0.08901956,0.11152303,0.10313765,0.10871438,0.11547189,0.12071792
81,2014-05-07,0.08913955,0.10818195,0.10451638,0.11050161,0.11714,0.12290635
82,2014-05-08,0.08923021,0.10502003,0.10283945,0.10825427,0.1137728,0.12015467
83,2014-05-09,0.08633806,0.10231823,0.10220522,0.10811415,0.11461596,0.12064232
84,2014-05-12,0.08147769,0.1016385,0.0969275,0.10249614,0.10960223,0.11408213
85,2014-05-13,0.08183454,0.09878725,0.09663369,0.10214127,0.10933811,0.11361325
86,2014-05-14,0.08221151,0.09647137,0.09642232,0.10177415,0.10899826,0.11342996
87,2014-05-15,0.08161379,0.09465947,0.09390856,0.09839192,0.10536311,0.11014705
88,2014-05-16,0.08373177,0.09842902,0.0940579,0.09783925,0.10526056,0.11130824
89,2014-05-19,0.08270908,0.09569016,0.09431492,0.09841198,0.10556365,0.11183213
90,2014-05-20,0.08826705,0.10178152,0.09730144,0.10028678,0.10723288,0.11366059
91,2014-05-21,0.08836596,0.09921158,0.09918317,0.10268053,0.10958405,0.11669855
92,2014-05-22,0.08949412,0.09673524,0.09673508,0.09925575,0.10423381,0.11206217
93,2014-05-23,0.08516578,0.09496374,0.09564447,0.09846009,0.1042528,0.11206613
94,2014-05-26,0.08400401,0.09204092,0.09549383,0.09840914,0.10508239,0.11199556
95,2014-05-27,0.08399874,0.08925934,0.09458865,0.09718858,0.10282799,0.11035086
96,2014-05-28,0.08233113,0.08656498,0.10104654,0.10598714,0.11621418,0.12153756
97,2014-05-29,0.08254198,0.08525994,0.10115325,0.10595428,0.11643836,0.1218035
98,2014-05-30,0.06930876,0.08660515,0.09318539,0.09987962,0.11264672,0.11883241
99,2014-06-03,0.06822139,0.08399539,0.09287636,0.09954492,0.11280467,0.11748446
100,2014-06-04,0.06747484,0.08163992,0.09145925,0.09781001,0.11062157,0.11541313
101,2014-06-05,0.0690175,0.07984537,0.08956072,0.09543529,0.10846002,0.11370753
102,2014-06-06,0.06467643,0.07776148,0.08744868,0.09453647,0.10757452,0.11178573
103,2014-06-09,0.07275787,0.08745816,0.08756319,0.09165359,0.10611645,0.11102852
104,2014-06-10,0.0735915,0.08498932,0.08765874,0.09177603,0.10662817,0.11173961
105,2014-06-11,0.07926616,0.09163649,0.09006685,0.09263146,0.10651872,0.11221868
106,2014-06-12,0.0754642,0.08893804,0.08873598,0.09158651,0.10636816,0.11263109
107,2014-06-13,0.07434728,0.08758936,0.08883022,0.09141788,0.10531706,0.11131439
108,2014-06-16,0.07352885,0.08524872,0.08887375,0.0916013,0.10552027,0.11147304
109,2014-06-17,0.07509316,0.08314775,0.0875825,0.09007182,0.10323581,0.1099854
110,2014-06-18,0.07088667,0.080827,0.08424623,0.08760861,0.10020722,0.10584451
111,2014-06-19,0.07871417,0.09292726,0.08749549,0.08798375,0.09962458,0.10663456
112,2014-06-20,0.07326115,0.09008093,0.08626099,0.08917578,0.1004508,0.10841789
113,2014-06-23,0.07323433,0.08781797,0.08607945,0.08896824,0.10040985,0.10720762
114,2014-06-24,0.07141292,0.08524667,0.08331641,0.08539478,0.09613707,0.10386184
115,2014-06-25,0.07137847,0.08263811,0.08158548,0.08343717,0.09432226,0.10230425
116,2014-06-26,0.07887947,0.08604883,0.09786464,0.10356118,0.10693907,0.11519621
117,2014-06-27,0.0814528,0.08515394,0.10074034,0.10692843,0.10994439,0.12045755
118,2014-06-30,0.08315097,0.08624545,0.09489178,0.09832934,0.09715172,0.11057148
119,2014-07-01,0.08288579,0.08431189,0.09485367,0.09843878,0.09660119,0.11068335
120,2014-07-02,0.08116325,0.0817322,0.09427636,0.09865448,0.09591333,0.1069916
121,2014-07-03,0.08223371,0.08182768,0.09451022,0.09836052,0.09402807,0.10601263
122,2014-07-04,0.08156478,0.07987628,0.09514406,0.09912686,0.0948292,0.10775584
123,2014-07-07,0.08073986,0.07756365,0.09578837,0.10011593,0.09595295,0.10852105
124,2014-07-08,0.07971171,0.07532654,0.09557545,0.09988475,0.09580708,0.10817864
125,2014-07-09,0.07268299,0.07307698,0.09507508,0.10203964,0.09795004,0.10845719
126,2014-07-10,0.07198617,0.07089878,0.09666083,0.10412315,0.09863632,0.11125223
127,2014-07-11,0.06480942,0.06878998,0.09412694,0.10312845,0.09787882,0.11061259
128,2014-07-14,0.06441641,0.06714409,0.09302294,0.10167129,0.09532776,0.10798882
129,2014-07-15,0.07719598,0.08484269,0.09602951,0.10166826,0.09541243,0.11051428
130,2014-07-16,0.08489781,0.09639582,0.10113687,0.10496134,0.09793647,0.11784964
131,2014-07-17,0.08370313,0.09342907,0.10200645,0.10623972,0.10121173,0.12128136
132,2014-07-18,0.08386775,0.09202083,0.10455924,0.10932269,0.10426889,0.12346095
133,2014-07-21,0.07706465,0.08972866,0.10270024,0.11005981,0.10541794,0.12352994
134,2014-07-22,0.07995984,0.08880094,0.10158899,0.10819328,0.10299589,0.12121854
135,2014-07-23,0.07994095,0.08612963,0.10037972,0.10672388,0.10121622,0.12019286
136,2014-07-24,0.08108538,0.08404817,0.10077679,0.10714277,0.10131375,0.12020549
137,2014-07-25,0.08103894,0.08152631,0.10306342,0.11010627,0.1048464,0.12292437
138,2014-07-28,0.07385986,0.07943581,0.09103338,0.09567555,0.09438513,0.11416528
139,2014-07-29,0.07050637,0.07726715,0.08957902,0.09414326,0.09218026,0.11103323
140,2014-07-30,0.07182482,0.07664175,0.09196749,0.09781954,0.09440951,0.11237706
141,2014-07-31,0.07463699,0.07639706,0.09220621,0.09783855,0.09413397,0.11244902
142,2014-08-01,0.07552625,0.07467843,0.09279335,0.09847036,0.09458547,0.11333166
143,2014-08-04,0.08140859,0.08037289,,,,
144,2014-08-05,0.08113982,0.07795798,,,,
145,2014-08-06,0.08286966,0.07891457,,,,
146,2014-08-07,0.08295252,0.07686454,,,,
