,symbol,start_date,end_date
0,RB0909,2009-03-30,2009-07-14
1,RB0910,2009-07-15,2009-08-05
2,RB0911,2009-08-06,2009-09-01
3,RB0912,2009-09-02,2009-10-12
4,RB1001,2009-10-13,2009-11-09
5,RB1002,2009-11-10,2009-11-30
6,RB1005,2009-12-01,2010-03-09
7,RB1010,2010-03-10,2010-07-16
8,RB1101,2010-07-19,2010-10-14
9,RB1105,2010-10-15,2011-02-09
10,RB1110,2011-02-10,2011-08-05
11,RB1201,2011-08-08,2011-11-03
12,RB1205,2011-11-04,2012-03-02
13,RB1210,2012-03-05,2012-07-11
14,RB1301,2012-07-12,2012-10-23
15,RB1305,2012-10-24,2013-02-18
16,RB1310,2013-02-19,2013-07-03
17,RB1401,2013-07-04,2013-10-31
18,RB1405,2013-11-01,2014-03-04
19,RB1410,2014-03-05,2014-07-04
20,RB1501,2014-07-07,2014-10-20
21,RB1505,2014-10-21,2015-03-09
22,RB1510,2015-03-10,2015-07-20
23,RB1601,2015-07-21,2015-11-04
24,RB1605,2015-11-05,2016-03-14
25,RB1610,2016-03-15,2016-08-18
26,RB1701,2016-08-19,2016-11-28
27,RB1705,2016-11-29,2017-03-23
28,RB1710,2017-03-24,2017-08-08
29,RB1801,2017-08-09,2017-11-09
30,RB1805,2017-11-10,2018-03-28
31,RB1810,2018-03-29,2018-08-17
32,RB1901,2018-08-20,2018-11-28
33,RB1905,2018-11-29,2019-04-01
34,RB1910,2019-04-02,
35,Y0609,2006-01-10,2006-07-17
36,Y0611,2006-07-18,2006-09-06
37,Y0701,2006-09-07,2006-10-31
38,Y0705,2006-11-01,2007-03-20
39,Y0709,2007-03-21,2007-07-31
40,Y0801,2007-08-01,2007-09-14
41,Y0805,2007-09-17,2008-02-28
42,Y0809,2008-02-29,2008-07-04
43,Y0901,2008-07-07,2008-11-19
44,Y0905,2008-11-20,2009-02-24
45,Y0909,2009-02-25,2009-06-03
46,Y1001,2009-06-04,2009-08-03
47,Y1005,2009-08-04,2009-11-11
48,Y1009,2009-11-12,2010-04-26
49,Y1101,2010-04-27,2010-08-09
50,Y1105,2010-08-10,2010-10-27
51,Y1109,2010-10-28,2011-04-11
52,Y1201,2011-04-12,2011-07-12
53,Y1205,2011-07-13,2011-12-13
54,Y1209,2011-12-14,2012-05-29
55,Y1301,2012-05-30,2012-10-16
56,Y1305,2012-10-17,2013-01-22
57,Y1309,2013-01-23,2013-06-24
58,Y1401,2013-06-25,2013-10-17
59,Y1405,2013-10-18,2014-02-25
60,Y1409,2014-02-26,2014-06-04
61,Y1501,2014-06-05,2014-11-03
62,Y1505,2014-11-04,2015-03-04
63,Y1509,2015-03-05,2015-06-16
64,Y1601,2015-06-17,2015-11-17
65,Y1605,2015-11-18,2016-03-08
66,Y1609,2016-03-09,2016-07-06
67,Y1701,2016-07-07,2016-11-23
68,Y1705,2016-11-24,2017-03-21
69,Y1709,2017-03-22,2017-07-27
70,Y1801,2017-07-28,2017-12-01
71,Y1805,2017-12-04,2018-03-26
72,Y1809,2018-03-27,2018-07-26
73,Y1901,2018-07-27,2018-12-03
74,Y1905,2018-12-04,2019-04-02
75,Y1909,2019-04-03,
76,IC1505,2015-04-17,2015-05-14
77,IC1506,2015-05-15,2015-06-18
78,IC1507,2015-06-19,2015-07-16
79,IC1508,2015-07-17,2015-08-19
80,IC1509,2015-08-20,2015-09-18
81,IC1510,2015-09-21,2015-10-16
82,IC1511,2015-10-19,2015-11-19
83,IC1512,2015-11-20,2015-12-18
84,IC1601,2015-12-21,2016-01-15
85,IC1602,2016-01-18,2016-02-18
86,IC1603,2016-02-19,2016-03-18
87,IC1604,2016-03-21,2016-04-15
88,IC1605,2016-04-18,2016-05-18
89,IC1606,2016-05-19,2016-06-17
90,IC1607,2016-06-20,2016-07-15
91,IC1608,2016-07-18,2016-08-17
92,IC1609,2016-08-18,2016-09-14
93,IC1610,2016-09-19,2016-10-20
94,IC1611,2016-10-21,2016-11-15
95,IC1612,2016-11-16,2016-12-15
96,IC1701,2016-12-16,2017-01-19
97,IC1702,2017-01-20,2017-02-14
98,IC1703,2017-02-15,2017-03-16
99,IC1704,2017-03-17,2017-04-20
100,IC1705,2017-04-21,2017-05-16
101,IC1706,2017-05-17,2017-06-15
102,IC1707,2017-06-16,2017-07-21
103,IC1708,2017-07-24,2017-08-16
104,IC1709,2017-08-17,2017-09-15
105,IC1710,2017-09-18,2017-10-20
106,IC1711,2017-10-23,2017-11-15
107,IC1712,2017-11-16,2017-12-14
108,IC1801,2017-12-15,2018-01-19
109,IC1802,2018-01-22,2018-02-09
110,IC1803,2018-02-12,2018-03-16
111,IC1804,2018-03-19,2018-04-20
112,IC1805,2018-04-23,2018-05-16
113,IC1806,2018-05-17,2018-06-14
114,IC1807,2018-06-15,2018-07-18
115,IC1809,2018-07-19,2018-09-20
116,IC1810,2018-09-21,2018-10-16
117,IC1812,2018-10-17,2018-12-20
118,IC1901,2018-12-21,2019-01-16
119,IC1903,2019-01-17,2019-03-15
120,IC1904,2019-03-18,2019-04-19
121,IC1905,2019-04-22,2019-05-16
122,IC1906,2019-05-17,2019-06-21
123,IC1907,2019-06-24,
124,HC1410,2014-03-24,2014-09-01
125,HC1501,2014-09-02,2014-12-15
126,HC1505,2014-12-16,2015-04-08
127,HC1510,2015-04-09,2015-07-28
128,HC1601,2015-07-29,2015-12-01
129,HC1605,2015-12-02,2016-04-13
130,HC1610,2016-04-14,2016-09-01
131,HC1701,2016-09-02,2016-11-30
132,HC1705,2016-12-01,2017-03-28
133,HC1710,2017-03-29,2017-08-10
134,HC1801,2017-08-11,2017-11-27
135,HC1805,2017-11-28,2018-04-09
136,HC1810,2018-04-10,2018-08-20
137,HC1901,2018-08-21,2018-11-28
138,HC1905,2018-11-29,2019-04-09
139,HC1910,2019-04-10,
140,I1405,2013-10-21,2014-02-27
141,I1409,2014-02-28,2014-07-23
142,I1501,2014-07-24,2014-10-23
143,I1505,2014-10-24,2015-03-09
144,I1509,2015-03-10,2015-07-21
145,I1601,2015-07-22,2015-11-23
146,I1605,2015-11-24,2016-03-21
147,I1609,2016-03-22,2016-08-11
148,I1701,2016-08-12,2016-11-25
149,I1705,2016-11-28,2017-03-22
150,I1709,2017-03-23,2017-08-01
