trade_date,RB9999,Y9999,IC9999,HC9999,I9999,TA9999,WR9999,CF9999,CJ9999,TF9999,V9999,FU9999,FG9999,CU9999,CY9999,IH9999,T9999,PB9999,RM9999,JM9999,ZC9999,PP9999,RU9999,P9999,B9999,SC9999,J9999,AP9999,ZN9999,C9999,BU9999,SR9999,AG9999,SM9999,TS9999,NI9999,IF9999,L9999,SF9999,MA9999,CS9999,EG9999,BB9999,SN9999,OI9999,M9999,SP9999,JD9999,AU9999,A9999,WH9999,AL9999
2005-01-04,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-05,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-06,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-07,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-10,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-11,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-12,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-13,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-14,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-17,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-18,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-19,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-20,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-21,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-24,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-25,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-26,,,,,,,,CF0504.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-27,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-28,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0503.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-01-31,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-02-01,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-02-02,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-02-03,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-02-04,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0503.XSGE
2005-02-16,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-17,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-18,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0503.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-21,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-22,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-23,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
