id,trade_date
8506,2016-01-04
8507,2016-01-05
8508,2016-01-06
8509,2016-01-07
8510,2016-01-08
8511,2016-01-11
8512,2016-01-12
8513,2016-01-13
8514,2016-01-14
8515,2016-01-15
8516,2016-01-18
8517,2016-01-19
8518,2016-01-20
8519,2016-01-21
8520,2016-01-22
8521,2016-01-25
8522,2016-01-26
8523,2016-01-27
8524,2016-01-28
8525,2016-01-29
8526,2016-02-01
8527,2016-02-02
8528,2016-02-03
8529,2016-02-04
8530,2016-02-05
8531,2016-02-15
8532,2016-02-16
8533,2016-02-17
8534,2016-02-18
8535,2016-02-19
8536,2016-02-22
8537,2016-02-23
8538,2016-02-24
8539,2016-02-25
8540,2016-02-26
8541,2016-02-29
8542,2016-03-01
8543,2016-03-02
8544,2016-03-03
8545,2016-03-04
8546,2016-03-07
8547,2016-03-08
8548,2016-03-09
8549,2016-03-10
8550,2016-03-11
8551,2016-03-14
8552,2016-03-15
8553,2016-03-16
8554,2016-03-17
8555,2016-03-18
8556,2016-03-21
8557,2016-03-22
8558,2016-03-23
8559,2016-03-24
8560,2016-03-25
8561,2016-03-28
8562,2016-03-29
8563,2016-03-30
8564,2016-03-31
8565,2016-04-01
8566,2016-04-05
8567,2016-04-06
8568,2016-04-07
8569,2016-04-08
8570,2016-04-11
8571,2016-04-12
8572,2016-04-13
8573,2016-04-14
8574,2016-04-15
8575,2016-04-18
8576,2016-04-19
8577,2016-04-20
8578,2016-04-21
8579,2016-04-22
8580,2016-04-25
8581,2016-04-26
8582,2016-04-27
8583,2016-04-28
8584,2016-04-29
8585,2016-05-03
8586,2016-05-04
8587,2016-05-05
8588,2016-05-06
8589,2016-05-09
8590,2016-05-10
8591,2016-05-11
8592,2016-05-12
8593,2016-05-13
8594,2016-05-16
8595,2016-05-17
8596,2016-05-18
8597,2016-05-19
8598,2016-05-20
8599,2016-05-23
8600,2016-05-24
8601,2016-05-25
8602,2016-05-26
8603,2016-05-27
8604,2016-05-30
8605,2016-05-31
8606,2016-06-01
8607,2016-06-02
8608,2016-06-03
8609,2016-06-06
8610,2016-06-07
8611,2016-06-08
8612,2016-06-13
8613,2016-06-14
8614,2016-06-15
8615,2016-06-16
8616,2016-06-17
8617,2016-06-20
8618,2016-06-21
8619,2016-06-22
8620,2016-06-23
8621,2016-06-24
8622,2016-06-27
8623,2016-06-28
8624,2016-06-29
8625,2016-06-30
8626,2016-07-01
8627,2016-07-04
8628,2016-07-05
8629,2016-07-06
8630,2016-07-07
8631,2016-07-08
8632,2016-07-11
8633,2016-07-12
8634,2016-07-13
8635,2016-07-14
8636,2016-07-15
8637,2016-07-18
8638,2016-07-19
8639,2016-07-20
8640,2016-07-21
8641,2016-07-22
8642,2016-07-25
